chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	25.6771	0.946015	-0.20568	-0.00825459
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0.223546	1	-1.36837	0
20	-	50934867	50958555	ENSG00000000419.12	DPM1	36.4295	0.926789	-0.229156	-0.0678498
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	5.55013	0.411928	-0.0842302	-0.0378676
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	1.3799	0.643439	-0.554558	-0.251996
1	-	27612064	27635277	ENSG00000000938.12	FGR	0.294618	0.470689	-0.990073	0.322457
1	+	196651878	196747504	ENSG00000000971.15	CFH	10.4195	0.968797	0.34571	-0.0615932
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	59.5547	0.921035	-0.0825989	-0.0506125
6	-	53497341	53616970	ENSG00000001084.10	GCLC	14.4953	0.918448	-0.237675	-0.0294197
6	+	41072945	41099976	ENSG00000001167.14	NFYA	6.27121	0.219724	-1.048	-0.840728
1	-	24356999	24416934	ENSG00000001460.17	STPG1	3.0385	0.770893	0.017827	0.067334
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	44.766	0.954055	-0.288785	-0.0140585
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	18.509	0.657342	-0.161472	-0.0829388
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	3.43557	0.983586	-0.537352	-0.0591052
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	16.7677	0.810827	-0.647996	-0.101295
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.0614752	1	-0.854155	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	55.3478	0.787989	-0.165414	-0.132651
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	69.6005	0.972791	-0.314011	-0.0352993
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	20.3906	0.665208	-0.202925	0.0234455
12	-	912077	990053	ENSG00000002016.17	RAD52	4.79004	0.798174	-0.0611416	0.0329864
11	-	64269830	64284704	ENSG00000002330.13	BAD	35.9887	0.996573	-0.181414	-0.0144708
4	+	17577192	17607972	ENSG00000002549.12	LAP3	38.7492	0.96607	-0.0566435	-0.0224779
X	+	2691179	2741309	ENSG00000002586.18	CD99	328.786	1	-0.402688	0
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	0.0670644	1	-0.886854	0
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.100596	1	-0.252311	0
7	+	121325367	121341104	ENSG00000002745.12	WNT16	1.20571	0.971813	-1.40717	0.0122926
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.722863	0.075949	-0.445371	-0.16461
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	12.2084	0.844817	-0.0332347	-0.0488373
17	+	38869859	38921770	ENSG00000002834.17	LASP1	317.561	0.986061	-0.109998	-0.0685401
17	+	48103357	48123074	ENSG00000002919.14	SNX11	12.1366	0.905701	-0.031716	0.00904668
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	19.9275	0.985184	-2.09442	-0.0210181
12	-	8940363	8949955	ENSG00000003056.7	M6PR	117.45	0.980369	-0.225672	0.00457518
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	0.240312	1	0.383858	-0.008733
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	14.8147	0.926548	-1.72885	0.026796
7	-	8113184	8262687	ENSG00000003147.17	ICA1	0.0172139	1	-0.434791	-0.00154495
