chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.0914125	1	0.272735	-0.00827401
20	-	50934867	50958555	ENSG00000000419.12	DPM1	52.9795	0.921637	-0.309259	-0.131882
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	7.49796	0.184951	-0.0500347	0.0502803
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	9.04985	0.68653	-0.539008	-0.39501
1	-	27612064	27635277	ENSG00000000938.12	FGR	49.8246	0.350412	-0.783943	-0.212274
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	33.8537	0.886205	-0.329505	-0.102373
6	-	53497341	53616970	ENSG00000001084.10	GCLC	20.9984	0.982807	-0.411702	-0.105051
6	+	41072945	41099976	ENSG00000001167.14	NFYA	20.9652	0.316931	-0.351884	-0.365091
1	-	24356999	24416934	ENSG00000001460.17	STPG1	2.55886	0.808642	-1.3558	0.0702527
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	21.1385	0.844496	-0.0663849	-0.00725959
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	46.7812	0.694709	-0.323439	-0.240903
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	104.931	0.949213	-0.81957	-0.144407
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.199592	1	-0.162931	0
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.0071283	1	-0.233714	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	71.9167	0.729673	-0.0255532	-0.0815322
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	200.952	0.957145	-0.569106	-0.115977
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	19.9709	0.562526	-0.183297	-0.115872
12	-	912077	990053	ENSG00000002016.17	RAD52	4.79185	0.816883	-0.207703	-0.143363
11	-	64269830	64284704	ENSG00000002330.13	BAD	29.9123	0.96078	-0.387178	-0.0128269
4	+	17577192	17607972	ENSG00000002549.12	LAP3	367.653	0.968278	-0.35151	-0.0345441
X	+	2691179	2741309	ENSG00000002586.18	CD99	40.136	1	-0.2691	0
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	3.19532	1	-0.817715	0
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.071283	1	-0.281529	0
7	+	121325367	121341104	ENSG00000002745.12	WNT16	1.00051	0.954815	-0.841078	0.0198773
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.23606	1	-0.972993	0
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	40.1082	0.857941	-0.155956	-0.0342056
17	+	38869859	38921770	ENSG00000002834.17	LASP1	255.923	0.995472	-0.116607	-0.0547591
17	+	48103357	48123074	ENSG00000002919.14	SNX11	88.8117	0.910951	-0.190932	-0.031724
12	-	8940363	8949955	ENSG00000003056.7	M6PR	231.888	0.956601	-0.182656	0.00382183
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	0.541345	0.999253	-0.952791	-0.0213179
7	-	8113184	8262687	ENSG00000003147.17	ICA1	0.997472	0.320779	-2.00323	-1.51954
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	49.6593	1	-1.34854	0
2	-	201700554	201781189	ENSG00000003393.14	ALS2	8.63577	0.468177	0.0454609	-0.0813584
2	+	201182881	201229406	ENSG00000003400.14	CASP10	16.939	0.854864	-0.201188	-0.0733503
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	262.425	0.957542	-0.212279	-0.00457634
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.308874	1	-0.017385	0
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	17.5925	0.916653	-0.30919	-0.161058
3	+	50088908	50119021	ENSG00000003756.16	RBM5	82.6679	0.765602	-0.0218835	-0.101164
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.906045	1	0.0588164	0
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.456211	1	-0.157481	0
7	+	127588345	127591705	ENSG00000004059.10	ARF5	58.5102	0.981179	-0.0204014	-0.00399896
17	+	28364356	28404049	ENSG00000004139.13	SARM1	7.90101	0.60567	-0.0624746	-0.237498
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	143.934	0.923019	-0.326511	-0.0847184
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	0.841969	0.562233	-0.680846	0.179973
1	-	33007940	33080996	ENSG00000004455.16	AK2	349.511	0.962555	-0.170296	0.00149702
4	+	15778275	15853230	ENSG00000004468.12	CD38	34.6511	0.964704	-0.391749	-0.0515093
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	225.871	0.892976	-0.531678	-0.126408
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	126	0.918794	-0.228996	-0.109995
3	+	49940007	50100045	ENSG00000004534.14	RBM6	73.9591	0.647953	-0.22245	-0.0559849
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	2.9457	0.604047	-0.133059	-0.374921
12	-	21468911	21501669	ENSG00000004700.15	RECQL	77.9097	0.715728	-0.43909	-0.267084
7	+	93232340	93361121	ENSG00000004766.15	VPS50	18.8787	0.786781	-0.128874	-0.0463539
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.0538186	1	1.04386	0
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	0.646783	0.0671401	-1.81742	-0.88728
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	101.75	0.994818	-0.360497	-0.00630714
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.427377	1	0.0073441	-0.134732
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.0234257	1	0.782329	0
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.0745363	1	-0.927043	0
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	29.5697	0.813202	-0.332943	-0.0965751
7	+	116953238	117230103	ENSG00000004866.19	ST7	125.608	0.898827	-0.650666	-0.110981
17	-	47117703	47189422	ENSG00000004897.11	CDC27	94.2597	0.785498	-0.314879	-0.224777
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.390339	1	-0.278802	0
X	+	11111301	11123078	ENSG00000004961.14	HCCS	33.0662	0.876719	-0.299189	-0.0487698
17	-	7225341	7234545	ENSG00000004975.11	DVL2	37.56	0.668638	-0.170962	-0.039261
19	+	18831938	18868236	ENSG00000005007.12	UPF1	85.8569	0.64495	-0.424214	-0.12686
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	68.2052	0.980348	-0.31776	-0.0467416
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	330.59	0.990001	-0.122513	-0.0243953
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	35.355	0.955572	-0.135442	-0.0317531
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	54.8873	0.976093	-0.251629	-0.0408239
17	-	5440912	5469060	ENSG00000005100.12	DHX33	38.8958	0.761383	-0.163875	-0.117818
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	0.410566	0.993045	-0.998543	-0.0234552
7	-	11370357	11832198	ENSG00000005108.15	THSD7A	0.0926676	1	-1.01143	0
17	+	34980494	35009743	ENSG00000005156.11	LIG3	28.3519	0.632965	-0.235953	-0.210508
12	-	47661249	47706061	ENSG00000005175.9	RPAP3	42.5593	0.80127	-0.329529	-0.0106928
16	+	20610243	20797581	ENSG00000005187.11	ACSM3	12.4867	0.898287	-0.778318	-0.419813
16	+	20806429	20849668	ENSG00000005189.19	AC004381.6	9.36798	0.670347	-0.350376	-0.271883
16	-	57428169	57447528	ENSG00000005194.14	CIAPIN1	43.973	0.974733	-0.705987	-0.589998
19	+	2328615	2354806	ENSG00000005206.16	SPPL2B	14.0384	0.675533	0.0364946	-0.177076
9	-	35104112	35116341	ENSG00000005238.19	FAM214B	4.26639	0.324715	-0.21904	-0.344337
17	-	48026167	48038030	ENSG00000005243.9	COPZ2	0.994372	0.839149	-0.455759	-0.512436
7	+	107044649	107161811	ENSG00000005249.12	PRKAR2B	0.327902	1	-0.318522	0
X	+	11758159	11775753	ENSG00000005302.17	MSL3	123.91	0.844326	-0.392307	-0.0626433
16	-	3725054	3880726	ENSG00000005339.14	CREBBP	66.6744	0.825126	-0.0739967	-0.0924192
17	-	58301228	58328760	ENSG00000005379.15	TSPOAP1	1.19652	0.21559	0.445221	-0.132639
17	-	58269856	58280935	ENSG00000005381.7	MPO	0.114053	1	-1.09361	0
2	-	75652000	75710989	ENSG00000005436.13	GCFC2	11.5709	0.692247	-0.367991	-0.264247
2	+	74421678	74425755	ENSG00000005448.16	WDR54	33.9813	0.728285	-0.134034	-0.048304
7	+	87345681	87399795	ENSG00000005469.11	CROT	8.92231	0.679991	-0.187138	-0.10531
7	-	87401697	87480435	ENSG00000005471.15	ABCB4	4.71418	0.322394	-0.217661	-0.0793356
7	+	105014179	105114361	ENSG00000005483.20	KMT2E	57.7153	0.596105	-0.261411	-0.251267
7	+	75842602	75888926	ENSG00000005486.16	RHBDD2	19.7483	0.933568	-0.388646	-0.0251591
16	+	981808	986979	ENSG00000005513.9	SOX8	0.192464	1	-1.30635	0
6	-	82169983	82247754	ENSG00000005700.14	IBTK	67.0941	0.68086	-0.583871	-0.207805
11	-	3339261	3379222	ENSG00000005801.16	ZNF195	24.7541	0.811114	-0.128689	-0.116712
13	-	77044655	77327050	ENSG00000005810.17	MYCBP2	97.5464	0.463467	-0.0201074	-0.152365
13	-	76992598	77027195	ENSG00000005812.10	FBXL3	38.1441	0.805817	-0.104764	-0.0457598
