chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.138901	1	0.105929	-0.00827401
20	-	50934867	50958555	ENSG00000000419.12	DPM1	48.3474	0.87081	-0.269532	-0.107518
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	15.7527	0.308573	-0.372143	-0.163003
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	7.17552	0.687629	-0.438345	-0.395695
1	-	27612064	27635277	ENSG00000000938.12	FGR	29.7136	0.327923	-0.559513	-0.184292
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	23.6546	0.887731	-0.17387	-0.103112
6	-	53497341	53616970	ENSG00000001084.10	GCLC	18.5131	0.905869	-0.357022	-0.0700199
6	+	41072945	41099976	ENSG00000001167.14	NFYA	52.0499	0.625062	-0.746682	-0.653451
1	-	24356999	24416934	ENSG00000001460.17	STPG1	0.972055	0.820513	-0.9382	0.0640003
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	20.1266	0.869292	-0.0450914	-0.0196827
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	45.2356	0.599669	-0.308851	-0.177988
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	73.8406	0.911234	-0.666978	-0.126862
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.535013	1	-0.577963	0
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.0305528	1	-0.608021	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	71.8036	0.69724	-0.0248698	-0.0620592
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	184.487	0.968001	-0.531981	-0.120825
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	24.5784	0.544485	-0.273412	-0.101967
12	-	912077	990053	ENSG00000002016.17	RAD52	4.93339	0.875631	-0.220319	-0.173172
11	-	64269830	64284704	ENSG00000002330.13	BAD	22.2175	0.97829	-0.258074	-0.0205905
4	+	17577192	17607972	ENSG00000002549.12	LAP3	298.954	0.95198	-0.261679	-0.0272479
X	+	2691179	2741309	ENSG00000002586.18	CD99	49.9568	1	-0.36414	0
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	3.0658	1	-0.799802	0
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.0508531	1	-0.155812	0
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.190955	1	-0.139636	0
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.149889	0.842602	-0.785771	0.073575
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	35.1808	0.843949	-0.0990442	-0.0271473
17	+	38869859	38921770	ENSG00000002834.17	LASP1	254.956	0.993624	-0.114963	-0.0539601
17	+	48103357	48123074	ENSG00000002919.14	SNX11	94.4804	0.952966	-0.217801	-0.0510984
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	0.00763819	1	-0.246402	-0.0200213
12	-	8940363	8949955	ENSG00000003056.7	M6PR	271.78	0.985268	-0.251592	-0.00887097
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	2.07296	0.983311	-1.53005	-0.0144031
7	-	8113184	8262687	ENSG00000003147.17	ICA1	1.19408	0.416101	-2.08066	-1.62951
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	14.5539	1	-0.815726	0
2	-	201700554	201781189	ENSG00000003393.14	ALS2	11.8746	0.556175	-0.09272	-0.15472
2	+	201182881	201229406	ENSG00000003400.14	CASP10	9.10389	0.744376	0.0682522	-0.0139903
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	151.333	0.982693	0.0267809	-0.0157215
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.171977	1	0.226218	0
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	12.4629	0.790475	-0.159583	-0.0974885
3	+	50088908	50119021	ENSG00000003756.16	RBM5	94.0571	0.765263	-0.0779319	-0.100974
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	1.41307	1	-0.132493	0
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.618693	1	-0.287337	0
7	+	127588345	127591705	ENSG00000004059.10	ARF5	50.9449	0.988627	0.0397185	-0.00725018
17	+	28364356	28404049	ENSG00000004139.13	SARM1	6.72741	0.5367	0.00726438	-0.185899
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	148.229	0.904177	-0.33928	-0.0758582
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	0.128943	1	0.106741	-0.0667751
1	-	33007940	33080996	ENSG00000004455.16	AK2	339.684	0.956782	-0.15791	0.00408264
4	+	15778275	15853230	ENSG00000004468.12	CD38	26.0695	0.927006	-0.268206	-0.0343789
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	247.665	0.8806	-0.571681	-0.120415
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	135.708	0.906968	-0.261229	-0.104429
3	+	49940007	50100045	ENSG00000004534.14	RBM6	67.8692	0.644642	-0.185136	-0.0537939
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	1.64602	0.331022	0.118536	-0.119502
12	-	21468911	21501669	ENSG00000004700.15	RECQL	62.027	0.663475	-0.340093	-0.234631
7	+	93232340	93361121	ENSG00000004766.15	VPS50	12.733	0.74846	0.0420564	-0.0249477
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.0832769	1	0.879029	0
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	1.06709	0.071622	-2.03225	-0.911807
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	83.462	0.993096	-0.274461	-0.00556223
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0.0891339	1	0.997655	-0.0453257
6	-	110424687	110476641	ENSG00000004809.13	SLC22A16	0.0666648	1	-0.884596	0
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.498006	1	-0.0576688	-0.134732
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.215752	1	-0.0472219	0
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.0152927	1	-0.402995	0
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	18.3341	0.766465	-0.125446	-0.0711905
7	+	116953238	117230103	ENSG00000004866.19	ST7	104.799	0.922747	-0.572013	-0.122264
17	-	47117703	47189422	ENSG00000004897.11	CDC27	90.393	0.756817	-0.29669	-0.208829
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.525569	0.994455	-0.40519	0.00239089
X	+	11111301	11123078	ENSG00000004961.14	HCCS	24.2554	0.90112	-0.164661	-0.0605593
17	-	7225341	7234545	ENSG00000004975.11	DVL2	37.2692	0.548518	-0.167587	0.04534
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	27.8837	0.962462	0.070615	-0.0388264
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	240.07	0.986448	0.0164342	-0.0228495
