chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	1.0109	1	-0.730157	-0.00827401
20	-	50934867	50958555	ENSG00000000419.12	DPM1	57.8725	0.931868	-0.347616	-0.136626
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	9.63128	0.25217	-0.158647	-0.0783772
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	18.3045	0.745513	-0.844682	-0.430313
1	-	27612064	27635277	ENSG00000000938.12	FGR	21.8502	0.257615	-0.426066	-0.0829848
1	+	196651878	196747504	ENSG00000000971.15	CFH	3.95043	0.831904	-1.21054	0.0790588
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	34.7225	0.845734	-0.340507	-0.0823044
6	-	53497341	53616970	ENSG00000001084.10	GCLC	24.8169	0.966222	-0.484231	-0.0977352
6	+	41072945	41099976	ENSG00000001167.14	NFYA	30.9769	0.429033	-0.521356	-0.493132
1	-	24356999	24416934	ENSG00000001460.17	STPG1	3.47873	0.694867	-1.48873	0.13524
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	4.25543	0.114771	0.628932	0.828337
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	65.7969	0.701935	-0.471547	-0.245334
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	22.4012	0.935591	-0.149089	-0.138196
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.583737	0.953007	-0.61515	0.0206919
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.103234	1	-1.05398	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	90.5331	0.806749	-0.125518	-0.124581
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	91.8406	0.97029	-0.229074	-0.12184
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	35.3118	0.786307	-0.430725	-0.259157
12	-	912077	990053	ENSG00000002016.17	RAD52	4.41755	0.773817	-0.172458	-0.120134
