chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.269504	1	-0.167562	-0.00827401
20	-	50934867	50958555	ENSG00000000419.12	DPM1	58.8479	0.926117	-0.354874	-0.133966
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	11.3047	0.225322	-0.228156	-0.0314568
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	3.74529	0.622856	-0.15653	-0.353376
1	-	27612064	27635277	ENSG00000000938.12	FGR	40.6359	0.39996	-0.695428	-0.268216
1	+	196651878	196747504	ENSG00000000971.15	CFH	0.152375	1	0.176678	0
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	25.0273	0.860062	-0.198358	-0.0895158
6	-	53497341	53616970	ENSG00000001084.10	GCLC	21.9996	0.906348	-0.431921	-0.070247
6	+	41072945	41099976	ENSG00000001167.14	NFYA	41.4381	0.607461	-0.647683	-0.641245
1	-	24356999	24416934	ENSG00000001460.17	STPG1	0.81114	0.966608	-0.860481	-0.00637356
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	16.9346	0.973238	0.0298634	-0.0682082
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	46.8069	0.675256	-0.323678	-0.228746
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	64.6037	0.925719	-0.608949	-0.133638
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.123633	1	0.0325301	0
7	+	117465784	117715971	ENSG00000001626.14	CFTR	2.65119	0.981492	-2.42508	0.00803216
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	99.306	0.706398	-0.165682	-0.0676468
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	227.714	0.9663	-0.623401	-0.120069
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	16.5071	0.493671	-0.100616	-0.0602237
12	-	912077	990053	ENSG00000002016.17	RAD52	6.45128	0.940773	-0.336613	-0.203996
11	-	64269830	64284704	ENSG00000002330.13	BAD	31.6398	0.981365	-0.411554	-0.0219397
4	+	17577192	17607972	ENSG00000002549.12	LAP3	485.267	0.947193	-0.47205	-0.0250814
X	+	2691179	2741309	ENSG00000002586.18	CD99	12.7195	0.484197	0.22973	0.310421
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	1.77417	1	-0.56328	0
7	+	150824627	150861504	ENSG00000002726.20	AOC1	20.4761	0.891683	-2.68299	0.0492675
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.290897	1	-0.314955	0
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.541728	0.992798	-1.32368	0.00310791
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	29.2176	0.727105	-0.0184082	0.0367553
17	+	38869859	38921770	ENSG00000002834.17	LASP1	282.034	0.979575	-0.158797	-0.0478378
17	+	48103357	48123074	ENSG00000002919.14	SNX11	124.76	0.899727	-0.338523	-0.0263986
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	18.3528	0.945124	-3.26389	0.00424028
12	-	8940363	8949955	ENSG00000003056.7	M6PR	219.844	0.949701	-0.159493	0.00693313
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	2.54533	0.998633	-1.61881	-0.0210511
7	-	8113184	8262687	ENSG00000003147.17	ICA1	3.2751	0.858513	-2.51655	-1.93878
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	29.2651	1	-1.11895	0
2	-	201700554	201781189	ENSG00000003393.14	ALS2	13.5733	0.548983	-0.150741	-0.149168
2	+	201182881	201229406	ENSG00000003400.14	CASP10	13.8129	0.902669	-0.112643	-0.0967158
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	258.535	0.969982	-0.205793	-0.0101246
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.78237	0.999918	-0.412694	3.5261e-05
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	14.7975	0.842922	-0.234097	-0.12505
3	+	50088908	50119021	ENSG00000003756.16	RBM5	90.9852	0.710842	-0.0635126	-0.069365
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	1.22411	1	-0.0706207	0
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	1.07355	1	-0.523747	0
7	+	127588345	127591705	ENSG00000004059.10	ARF5	62.8036	0.988663	-0.0511493	-0.00726583
17	+	28364356	28404049	ENSG00000004139.13	SARM1	8.0553	0.505734	-0.0708632	-0.160576
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	134.674	0.882509	-0.297633	-0.0654405
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	1.02147	0.603751	-0.763879	0.149554
1	-	33007940	33080996	ENSG00000004455.16	AK2	250.337	0.823305	-0.025365	0.0686072
4	+	15778275	15853230	ENSG00000004468.12	CD38	70.6215	0.959398	-0.700905	-0.0491386
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	240.552	0.913542	-0.559026	-0.136189
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	155.644	0.902864	-0.320752	-0.102481
3	+	49940007	50100045	ENSG00000004534.14	RBM6	114.164	0.739904	-0.410967	-0.112796
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	2.14616	0.501401	0.0039207	-0.295481
12	-	21468911	21501669	ENSG00000004700.15	RECQL	79.5017	0.72891	-0.447873	-0.274902
7	+	93232340	93361121	ENSG00000004766.15	VPS50	21.1613	0.830692	-0.178419	-0.0696519
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.0138522	1	1.47127	0
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	87.5492	0.990833	-0.295222	-0.00458135
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0.748021	1	0.114196	-0.0453257
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.272991	1	0.196427	-0.134732
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.154736	1	0.0896212	0
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.249405	1	-1.41398	0
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	14.239	0.520849	-0.0157336	0.0939603
7	+	116953238	117230103	ENSG00000004866.19	ST7	80.8139	0.92999	-0.459154	-0.125623
17	-	47117703	47189422	ENSG00000004897.11	CDC27	99.4133	0.725045	-0.337995	-0.190452
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.252063	1	-0.0947801	0
X	+	11111301	11123078	ENSG00000004961.14	HCCS	43.8788	0.947258	-0.422027	-0.0820127
17	-	7225341	7234545	ENSG00000004975.11	DVL2	48.3392	0.85242	-0.28051	-0.143342
19	+	18831938	18868236	ENSG00000005007.12	UPF1	95.6452	0.647256	-0.471097	-0.128386
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	68.4709	0.952665	-0.319448	-0.034429
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	322.654	0.994911	-0.11196	-0.0265224
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	37.9148	0.916282	-0.165791	-0.0137116
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	56.5203	0.986436	-0.264359	-0.0453554
17	-	5440912	5469060	ENSG00000005100.12	DHX33	42.2305	0.776271	-0.19959	-0.12612
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	3.93098	0.975187	-1.97031	-0.0156535
17	+	34980494	35009743	ENSG00000005156.11	LIG3	28.974	0.778807	-0.245376	-0.299291
12	-	47661249	47706061	ENSG00000005175.9	RPAP3	44.17	0.919486	-0.345658	-0.0697702
16	+	20610243	20797581	ENSG00000005187.11	ACSM3	11.5787	0.914828	-0.745557	-0.427651
16	+	20806429	20849668	ENSG00000005189.19	AC004381.6	6.87493	0.820718	-0.216167	-0.358606
16	-	57428169	57447528	ENSG00000005194.14	CIAPIN1	47.1891	0.981885	-0.736636	-0.593141
19	+	2328615	2354806	ENSG00000005206.16	SPPL2B	10.613	0.433368	0.157874	0.0121877
9	-	35104112	35116341	ENSG00000005238.19	FAM214B	8.73179	0.39038	-0.529563	-0.422134
17	-	48026167	48038030	ENSG00000005243.9	COPZ2	1.30197	0.770626	-0.571789	-0.475896
7	+	107044649	107161811	ENSG00000005249.12	PRKAR2B	0.498681	1	-0.496177	0
X	+	11758159	11775753	ENSG00000005302.17	MSL3	148.79	0.802912	-0.471769	-0.0410632
16	-	3725054	3880726	ENSG00000005339.14	CREBBP	95.1765	0.826346	-0.228548	-0.0930532
17	-	58301228	58328760	ENSG00000005379.15	TSPOAP1	0.767042	0.0819298	0.636312	0.257225
2	-	75652000	75710989	ENSG00000005436.13	GCFC2	10.976	0.59073	-0.345088	-0.196437
2	+	74421678	74425755	ENSG00000005448.16	WDR54	30.899	0.807281	-0.0927507	-0.0924513
7	+	87345681	87399795	ENSG00000005469.11	CROT	12.5791	0.690352	-0.336169	-0.111783
7	-	87401697	87480435	ENSG00000005471.15	ABCB4	5.65734	0.403643	-0.296714	-0.174308
7	+	105014179	105114361	ENSG00000005483.20	KMT2E	41.1225	0.455692	-0.11423	-0.136818
