chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.382829	0.958609	-0.315377	0.00989886
20	-	50934867	50958555	ENSG00000000419.12	DPM1	42.8561	0.930756	-0.217183	-0.136113
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	20.2615	0.762231	-0.481399	-0.547541
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	5.1102	0.678795	-0.291174	-0.390161
1	-	27612064	27635277	ENSG00000000938.12	FGR	92.6373	0.42309	-1.05324	-0.292053
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	38.2254	0.896503	-0.382237	-0.107335
6	-	53497341	53616970	ENSG00000001084.10	GCLC	11.9315	0.900066	-0.166368	-0.0672595
6	+	41072945	41099976	ENSG00000001167.14	NFYA	28.5239	0.436433	-0.485539	-0.500391
1	-	24356999	24416934	ENSG00000001460.17	STPG1	6.90307	0.986118	-1.78574	-0.0149641
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	30.4916	0.896031	-0.225428	-0.0326926
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	54.4017	0.685949	-0.388967	-0.235471
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	36.9406	0.942149	-0.366246	-0.141197
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.0539138	1	0.352849	0
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.0404355	1	-0.702736	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	46.2639	0.626701	0.166001	-0.016428
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	77.7995	0.971689	-0.157024	-0.122459
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	21.4023	0.833702	-0.213345	-0.284266
12	-	912077	990053	ENSG00000002016.17	RAD52	5.08951	0.798703	-0.233823	-0.133708
11	-	64269830	64284704	ENSG00000002330.13	BAD	28.177	0.99744	-0.361232	-0.0289253
4	+	17577192	17607972	ENSG00000002549.12	LAP3	261.61	0.95498	-0.203731	-0.0286002
X	+	2691179	2741309	ENSG00000002586.18	CD99	76.066	1	-0.546706	0
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	8.3879	1	-1.23601	0
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.026957	1	0.0607745	0
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.363919	1	-0.409315	0
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.191198	1	-0.885576	0
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	64.4045	0.904575	-0.361599	-0.0569347
17	+	38869859	38921770	ENSG00000002834.17	LASP1	264.743	1	-0.131321	-0.0567105
17	+	48103357	48123074	ENSG00000002919.14	SNX11	121.04	0.928178	-0.325378	-0.0397727
12	-	8940363	8949955	ENSG00000003056.7	M6PR	228.324	0.986349	-0.175929	-0.00934242
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	2.55088	0.998913	-1.61976	-0.0211716
7	-	8113184	8262687	ENSG00000003147.17	ICA1	2.65594	0.880349	-2.42585	-1.94956
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	31.9426	1	-1.15695	0
2	-	201700554	201781189	ENSG00000003393.14	ALS2	9.91767	0.604493	-0.0145827	-0.190287
2	+	201182881	201229406	ENSG00000003400.14	CASP10	18.1175	0.890057	-0.230382	-0.0906725
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	201.262	0.990878	-0.0970401	-0.0192877
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.624975	0.995454	-0.316523	0.00195917
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	13.1575	0.880051	-0.183119	-0.143556
3	+	50088908	50119021	ENSG00000003756.16	RBM5	101.958	0.809694	-0.112958	-0.125177
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.737807	1	0.146944	0
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.310005	1	0.00594499	0
7	+	127588345	127591705	ENSG00000004059.10	ARF5	97.7548	0.983515	-0.243278	-0.0050213
17	+	28364356	28404049	ENSG00000004139.13	SARM1	4.86896	0.498443	0.14743	-0.154393
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	162.81	0.893043	-0.380025	-0.0705363
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	0.785587	0.922929	-0.65111	-0.0323023
1	-	33007940	33080996	ENSG00000004455.16	AK2	300.159	0.985181	-0.104188	-0.00849088
4	+	15778275	15853230	ENSG00000004468.12	CD38	184.191	0.963085	-1.1172	-0.0507873
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	216.66	0.897915	-0.513597	-0.128777
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	125.053	0.920552	-0.22572	-0.110816
3	+	49940007	50100045	ENSG00000004534.14	RBM6	63.64	0.872632	-0.157198	-0.18357
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	4.07385	0.646951	-0.273468	-0.404253
12	-	21468911	21501669	ENSG00000004700.15	RECQL	65.7083	0.799199	-0.365129	-0.314365
7	+	93232340	93361121	ENSG00000004766.15	VPS50	20.399	0.951657	-0.162494	-0.128035
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.700881	1	-0.00299406	0
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	1.21862	0.0718924	-2.08942	-0.913244
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	79.0524	0.994569	-0.25089	-0.0061995
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0.0792543	1	1.04325	-0.0453257
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.232991	0.367292	0.26261	0.292912
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.0430391	1	0.581814	0
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.0406856	1	-0.704885	0
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	16.3076	0.893587	-0.0746055	-0.137039
7	+	116953238	117230103	ENSG00000004866.19	ST7	71.8959	0.901274	-0.408379	-0.112149
17	-	47117703	47189422	ENSG00000004897.11	CDC27	71.172	0.832958	-0.192877	-0.249944
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.122823	1	0.200352	0
X	+	11111301	11123078	ENSG00000004961.14	HCCS	36.1582	0.947268	-0.338	-0.0820173
17	-	7225341	7234545	ENSG00000004975.11	DVL2	46.0477	0.747211	-0.259423	-0.0868398
19	+	18831938	18868236	ENSG00000005007.12	UPF1	155.74	0.665855	-0.682816	-0.140505
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	50.5997	0.91921	-0.188113	-0.0190676
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	324.08	0.993008	-0.113875	-0.0256992
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	40.2517	0.91084	-0.19176	-0.0111526
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	61.986	0.968462	-0.304442	-0.03745
17	-	5440912	5469060	ENSG00000005100.12	DHX33	54.4517	0.874126	-0.309952	-0.177062
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	0.0673923	1	-0.263407	-0.0264562
7	-	11370357	11832198	ENSG00000005108.15	THSD7A	0.0134784	1	-0.370668	0
17	+	34980494	35009743	ENSG00000005156.11	LIG3	28.4067	0.652145	-0.236791	-0.223273
12	-	47661249	47706061	ENSG00000005175.9	RPAP3	28.4277	0.941645	-0.154327	-0.0800023
16	+	20610243	20797581	ENSG00000005187.11	ACSM3	6.00584	0.882791	-0.460819	-0.41234
16	+	20806429	20849668	ENSG00000005189.19	AC004381.6	10.0613	0.785305	-0.381353	-0.339686
16	-	57428169	57447528	ENSG00000005194.14	CIAPIN1	48.8428	0.984376	-0.751591	-0.59423
19	+	2328615	2354806	ENSG00000005206.16	SPPL2B	29.3805	0.60188	-0.284085	-0.127714
9	-	35104112	35116341	ENSG00000005238.19	FAM214B	5.93494	0.376127	-0.36211	-0.406392
17	-	48026167	48038030	ENSG00000005243.9	COPZ2	0.534847	0.852406	-0.190139	-0.519164
7	+	107044649	107161811	ENSG00000005249.12	PRKAR2B	0.215656	1	-0.143178	0
X	+	11758159	11775753	ENSG00000005302.17	MSL3	83.9548	0.919331	-0.223263	-0.0991901
16	-	3725054	3880726	ENSG00000005339.14	CREBBP	99.6725	0.833228	-0.248591	-0.0966122
17	-	58301228	58328760	ENSG00000005379.15	TSPOAP1	2.81089	0.232013	0.0763698	-0.163158
17	-	58269856	58280935	ENSG00000005381.7	MPO	0.0134785	1	-0.37067	0
2	-	75652000	75710989	ENSG00000005436.13	GCFC2	11.6971	0.74198	-0.372698	-0.293964
2	+	74421678	74425755	ENSG00000005448.16	WDR54	57.0154	0.836147	-0.358734	-0.107526
7	+	87345681	87399795	ENSG00000005469.11	CROT	9.38685	0.867289	-0.209157	-0.20961
7	-	87401697	87480435	ENSG00000005471.15	ABCB4	6.399	0.455679	-0.350125	-0.225769
7	+	105014179	105114361	ENSG00000005483.20	KMT2E	53.9973	0.631347	-0.232497	-0.275813
7	+	75842602	75888926	ENSG00000005486.16	RHBDD2	47.3246	0.921688	-0.768075	-0.0196564
16	+	981808	986979	ENSG00000005513.9	SOX8	0.221104	1	-1.36381	0
6	-	82169983	82247754	ENSG00000005700.14	IBTK	48.5086	0.74754	-0.44303	-0.247821
11	-	3339261	3379222	ENSG00000005801.16	ZNF195	22.8739	0.846805	-0.0943968	-0.135191
13	-	77044655	77327050	ENSG00000005810.17	MYCBP2	99.3395	0.580909	-0.0280173	-0.248596
13	-	76992598	77027195	ENSG00000005812.10	FBXL3	27.0953	0.891719	0.043723	-0.0892382
16	+	30472658	30523185	ENSG00000005844.17	ITGAL	69.0156	0.741295	-0.317389	-0.182565
17	+	50094737	50112152	ENSG00000005882.11	PDK2	7.69021	0.948446	-0.742022	-0.0966309
17	+	50055968	50090481	ENSG00000005884.17	ITGA3	2.5801	0.898207	-0.631215	-0.130279
X	+	24149173	24216255	ENSG00000005889.15	ZFX	27.0007	0.639855	-0.0758443	-0.0809808
X	-	120427827	120469365	ENSG00000005893.15	LAMP2	79.4859	0.963864	-0.0135815	-0.037294
17	-	44372180	44389505	ENSG00000005961.17	ITGA2B	0.0725684	1	-0.916814	0
7	+	95478444	95540232	ENSG00000005981.12	ASB4	0.414102	1	-0.0298127	0
16	-	19501689	19522145	ENSG00000006007.11	GDE1	43.6221	0.998442	-0.337109	-0.004513
19	+	18588685	18592336	ENSG00000006015.17	C19orf60	21.2642	0.9274	-0.918359	-0.0402747
19	-	18572220	18607741	ENSG00000006016.10	CRLF1	0.0158112	1	-0.411808	0
17	-	47807372	47821834	ENSG00000006025.11	OSBPL7	9.15821	0.289592	-0.465279	-0.318971
17	+	32927910	32945106	ENSG00000006042.11	TMEM98	0.0675462	1	0.51605	0
17	-	7288252	7294615	ENSG00000006047.12	YBX2	0.0624646	1	-0.860126	0
17	-	45263121	45317040	ENSG00000006062.13	MAP3K14	55.5278	0.652524	-1.03386	-0.489488
16	+	24255553	24362801	ENSG00000006116.3	CACNG3	0.0542374	1	-0.807788	0
11	+	60924463	60937159	ENSG00000006118.14	TMEM132A	13.1581	0.887947	-0.807421	-0.0695119
17	+	35578046	35726409	ENSG00000006125.16	AP2B1	238.525	0.932386	-0.203036	-0.0236165
7	+	97731908	97740472	ENSG00000006128.11	TAC1	0.159036	0.983275	-1.22798	0.00725187
16	+	3263800	3301401	ENSG00000006194.9	ZNF263	40.3452	0.655898	-0.282648	-0.177673
16	+	57372458	57385048	ENSG00000006210.6	CX3CL1	0.448256	1	-0.0424787	-0.000267332
17	+	50543058	50555852	ENSG00000006282.20	SPATA20	7.83962	0.584996	-0.8875	-0.271937
17	+	50561068	50627474	ENSG00000006283.17	CACNA1G	0.26957	1	-0.181533	0
16	+	3018445	3022383	ENSG00000006327.13	TNFRSF12A	0.200063	0.362061	-0.0791612	0.318212
7	+	97005548	97011039	ENSG00000006377.10	DLX6	0.0539139	1	-0.805595	0
14	-	70722526	70809534	ENSG00000006432.15	MAP3K9	11.245	0.966485	0.02695	-0.0389043
7	+	39623483	39708124	ENSG00000006451.7	RALA	79.7246	0.917431	-0.337911	-0.0280794
7	-	98291651	98401068	ENSG00000006453.13	BAIAP2L1	18.2949	0.88557	-0.72894	-0.197967
7	-	140084746	140177035	ENSG00000006459.10	KDM7A	1.83128	0.759038	-0.538721	-0.0367347
7	-	13891228	13991425	ENSG00000006468.13	ETV1	0.0539138	1	-0.235428	0
7	+	141551189	141655244	ENSG00000006530.15	AGK	60.6541	0.91211	-0.133961	-0.149678
11	+	68008578	68029282	ENSG00000006534.15	ALDH3B1	0.24734	1	-0.809589	0
1	-	54779712	54801267	ENSG00000006555.10	TTC22	1.32698	1	-0.196544	-0.0208437
7	+	77798792	77957503	ENSG00000006576.16	PHTF2	30.1772	0.826923	-0.0264617	-0.276364
2	+	241356243	241494841	ENSG00000006607.13	FARP2	56.5578	0.930406	-0.285239	-0.0489144
7	-	30496621	30504844	ENSG00000006625.17	GGCT	34.5532	0.973786	-0.148668	-0.0358784
7	+	87876216	87909541	ENSG00000006634.7	DBF4	0.569437	0.565125	0.00453376	-0.137349
19	-	3594506	3606840	ENSG00000006638.11	TBXA2R	0.460062	1	-0.254292	0
7	+	112422968	112481017	ENSG00000006652.13	IFRD1	26.1921	0.843211	-0.0197556	-0.0723863
19	+	39704306	39709444	ENSG00000006659.12	LGALS14	11.9983	0.940994	-1.12001	-0.0140152
17	+	14069496	14208677	ENSG00000006695.10	COX10	28.5534	0.959253	-0.267567	-0.218653
7	+	74453790	74602604	ENSG00000006704.10	GTF2IRD1	4.15622	0.758503	-0.400277	-0.0824847
