chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.836668	0.981172	-0.648887	-0.000101666
20	-	50934867	50958555	ENSG00000000419.12	DPM1	58.9197	0.927585	-0.355403	-0.134646
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	15.4359	0.288246	-0.363326	-0.134369
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	7.92145	0.509503	-0.48124	-0.267659
1	-	27612064	27635277	ENSG00000000938.12	FGR	20.4837	0.305319	-0.398032	-0.154225
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	35.4711	0.907079	-0.349768	-0.112372
6	-	53497341	53616970	ENSG00000001084.10	GCLC	10.2292	0.932994	-0.0995748	-0.0826955
6	+	41072945	41099976	ENSG00000001167.14	NFYA	38.2917	0.521979	-0.613396	-0.57653
1	-	24356999	24416934	ENSG00000001460.17	STPG1	1.83068	0.979021	-1.21104	-0.0118588
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	20.902	0.939548	-0.0615009	-0.0530665
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	61.5605	0.701344	-0.442648	-0.244973
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	25.0726	0.864357	-0.197997	-0.104181
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.15283	1	-0.0532906	0
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.0611323	1	-0.852067	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	43.0539	0.516546	0.197224	0.0660713
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	119.951	0.978851	-0.345032	-0.125616
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	10.8535	0.644393	0.0813483	-0.173915
12	-	912077	990053	ENSG00000002016.17	RAD52	3.99555	0.663035	-0.128957	-0.0539565
11	-	64269830	64284704	ENSG00000002330.13	BAD	28.3606	0.995781	-0.364052	-0.0282095
4	+	17577192	17607972	ENSG00000002549.12	LAP3	213.633	0.934575	-0.115749	-0.0193183
X	+	2691179	2741309	ENSG00000002586.18	CD99	71.3114	1	-0.518678	0
