chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	24.7007	0.959189	-0.18885	-0.0141984
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0.00472369	1	-0.168017	0
20	-	50934867	50958555	ENSG00000000419.12	DPM1	21.8121	0.9789	-0.00648038	-0.0913604
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	5.82596	0.683811	-0.105258	-0.25387
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	2.28322	0.924128	-0.77202	-0.407198
1	-	27612064	27635277	ENSG00000000938.12	FGR	0.0141711	1	0.110386	0
1	+	196651878	196747504	ENSG00000000971.15	CFH	31.6014	0.891409	-0.13587	-0.0258225
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	48.2536	0.943779	0.00877033	-0.0610943
6	-	53497341	53616970	ENSG00000001084.10	GCLC	15.9809	0.981465	-0.280021	-0.0579395
6	+	41072945	41099976	ENSG00000001167.14	NFYA	12.8426	0.453129	-1.35894	-1.14522
1	-	24356999	24416934	ENSG00000001460.17	STPG1	5.81542	0.766869	-0.263414	0.0695777
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	72.7081	0.932906	-0.499382	-0.0044251
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	19.2167	0.703901	-0.17776	-0.112228
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	0.302316	1	0.505315	-0.0662211
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	31.0328	0.847889	-0.915224	-0.120475
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.0519606	1	-0.792116	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	37.6801	0.804712	0.00153736	-0.141659
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	31.9534	0.989576	0.0240109	-0.042654
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	12.6048	0.819831	0.00583735	-0.0661065
12	-	912077	990053	ENSG00000002016.17	RAD52	3.88828	0.835408	0.0292302	0.0134249
11	-	64269830	64284704	ENSG00000002330.13	BAD	48.1006	0.991564	-0.307368	-0.0123043
4	+	17577192	17607972	ENSG00000002549.12	LAP3	38.233	0.967131	-0.0508207	-0.0229498
X	+	2691179	2741309	ENSG00000002586.18	CD99	274.306	1	-0.324013	0
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	0.0189199	1	-0.461197	0
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.12287	1	-0.331999	0
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.222013	1	-0.68785	0
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	21.8853	0.865178	-0.286571	-0.0590605
17	+	38869859	38921770	ENSG00000002834.17	LASP1	748.619	0.989267	-0.482424	-0.0699357
17	+	48103357	48123074	ENSG00000002919.14	SNX11	19.0847	0.913199	-0.228174	0.00550504
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	3.43554	0.984276	-1.33201	-0.0206216
12	-	8940363	8949955	ENSG00000003056.7	M6PR	110.39	0.979533	-0.198751	0.00494194
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	0.0519606	1	0.990225	-0.008733
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	0.392066	1	-0.16216	-0.00599534
7	-	8113184	8262687	ENSG00000003147.17	ICA1	0.0560636	1	-0.819962	-0.00154495
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	2.6244	1	-1.51173	0
2	-	201700554	201781189	ENSG00000003393.14	ALS2	27.7597	0.568987	-0.327303	-0.252352
2	+	201182881	201229406	ENSG00000003400.14	CASP10	0.162775	1	1.40364	-0.0550608
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	47.8415	0.985764	0.0558974	-0.0251229
2	-	187464230	187565760	ENSG00000003436.14	TFPI	5.16558	0.989483	1.11005	-0.0136407
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	4.44802	0.876599	-0.120306	-0.100295
3	+	50088908	50119021	ENSG00000003756.16	RBM5	81.2925	0.8791	-0.183347	-0.0917459
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.333424	1	0.484237	0
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.0377895	1	2.21284	-0.092581
7	+	127588345	127591705	ENSG00000004059.10	ARF5	72.1169	0.986066	-0.163524	-0.00569581
17	+	28364356	28404049	ENSG00000004139.13	SARM1	8.69036	0.736767	-0.284307	-0.0647778
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	83.1833	0.92087	-0.177905	-0.0684005
