chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.307751	1	-0.223261	-0.00827401
20	-	50934867	50958555	ENSG00000000419.12	DPM1	59.8512	0.914121	-0.362214	-0.128364
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	13.3863	0.324982	-0.301498	-0.184816
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	7.52165	0.507206	-0.458777	-0.265734
1	-	27612064	27635277	ENSG00000000938.12	FGR	13.016	0.218807	-0.201223	-0.0149437
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	30.9095	0.865483	-0.290003	-0.0922133
6	-	53497341	53616970	ENSG00000001084.10	GCLC	20.6008	0.874898	-0.403404	-0.0550798
6	+	41072945	41099976	ENSG00000001167.14	NFYA	29.7646	0.444594	-0.504024	-0.508259
1	-	24356999	24416934	ENSG00000001460.17	STPG1	2.08656	0.841055	-1.26757	0.0533891
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	23.0955	0.913649	-0.104821	-0.0410565
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	41.5542	0.607651	-0.271995	-0.183637
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	91.5906	0.890753	-0.760523	-0.117098
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.214142	1	-1.35052	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	84.9656	0.807322	-0.0979573	-0.124886
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	190.466	0.962546	-0.545832	-0.118396
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	21.261	0.621561	-0.21047	-0.158492
12	-	912077	990053	ENSG00000002016.17	RAD52	7.02928	0.802644	-0.373823	-0.135819
11	-	64269830	64284704	ENSG00000002330.13	BAD	25.1128	0.988877	-0.311251	-0.0252181
4	+	17577192	17607972	ENSG00000002549.12	LAP3	317.015	0.950823	-0.287154	-0.0267252
X	+	2691179	2741309	ENSG00000002586.18	CD99	57.7353	1	-0.426975	0
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	5.93622	1	-1.08608	0
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.185789	1	-0.663317	0
7	+	121325367	121341104	ENSG00000002745.12	WNT16	1.21247	0.965111	-0.923776	0.0152673
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.407227	1	-1.20232	0
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	37.089	0.822081	-0.121977	-0.015881
17	+	38869859	38921770	ENSG00000002834.17	LASP1	204.411	0.971889	-0.0190057	-0.0444515
17	+	48103357	48123074	ENSG00000002919.14	SNX11	110.829	0.928927	-0.287106	-0.0401193
12	-	8940363	8949955	ENSG00000003056.7	M6PR	250.836	0.973275	-0.216766	-0.00360592
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	0.389172	0.991284	-0.812527	-0.0178752
7	-	8113184	8262687	ENSG00000003147.17	ICA1	1.26044	0.483487	-2.10395	-1.69328
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	52.3496	0.994481	-1.37144	0.00237965
2	-	201700554	201781189	ENSG00000003393.14	ALS2	9.81953	0.511246	-0.0102682	-0.118812
2	+	201182881	201229406	ENSG00000003400.14	CASP10	13.6826	0.780066	-0.10853	-0.0340658
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	206.715	0.95752	-0.10865	-0.00456646
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.304709	1	-0.0116751	0
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	16.0188	0.778374	-0.268517	-0.090873
3	+	50088908	50119021	ENSG00000003756.16	RBM5	85.6392	0.780011	-0.0372174	-0.109158
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.863101	1	0.0796687	0
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.479024	1	-0.178228	0
7	+	127588345	127591705	ENSG00000004059.10	ARF5	52.7344	0.983151	0.024728	-0.00486216
17	+	28364356	28404049	ENSG00000004139.13	SARM1	4.6335	0.482754	0.168912	-0.14078
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	138.804	0.896195	-0.31075	-0.0720496
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	0.0687557	1	0.353296	-0.0667751
1	-	33007940	33080996	ENSG00000004455.16	AK2	356.355	0.977274	-0.178718	-0.00502651
4	+	15778275	15853230	ENSG00000004468.12	CD38	48.7131	0.978121	-0.539642	-0.0574467
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	279.34	0.865881	-0.623947	-0.113177
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	132.912	0.90131	-0.252188	-0.101741
3	+	49940007	50100045	ENSG00000004534.14	RBM6	67.9092	0.692399	-0.185392	-0.084374
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	6.0364	0.741162	-0.443895	-0.462453
12	-	21468911	21501669	ENSG00000004700.15	RECQL	85.4816	0.779883	-0.479366	-0.303873
7	+	93232340	93361121	ENSG00000004766.15	VPS50	16.1615	0.775177	-0.0614222	-0.0399825
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.321213	1	0.328695	0
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	1.18213	0.114517	-2.07632	-1.09523
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	95.1094	0.996175	-0.33119	-0.00689325
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0.171314	1	0.735446	-0.0453257
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.246896	0.469589	0.238443	0.18872
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.0214513	1	0.808771	0
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.136015	1	-1.1644	0
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	31.1039	0.926346	-0.354904	-0.152505
7	+	116953238	117230103	ENSG00000004866.19	ST7	106.789	0.908131	-0.580181	-0.115405
17	-	47117703	47189422	ENSG00000004897.11	CDC27	93.5801	0.716447	-0.311737	-0.185342
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.14243	1	0.140555	0
X	+	11111301	11123078	ENSG00000004961.14	HCCS	30.7843	0.889031	-0.268143	-0.0547584
17	-	7225341	7234545	ENSG00000004975.11	DVL2	42.6566	0.707193	-0.226209	-0.0632589
19	+	18831938	18868236	ENSG00000005007.12	UPF1	88.1815	0.596494	-0.435815	-0.0934784
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	66.1828	0.89712	-0.30469	-0.00861851
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	305.255	0.99592	-0.0878868	-0.0269583
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	32.8423	0.941025	-0.103434	-0.0251603
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	58.8838	0.971774	-0.282148	-0.0389175
17	-	5440912	5469060	ENSG00000005100.12	DHX33	52.8906	0.88096	-0.297322	-0.180406
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	1.29199	1	-1.48932	-0.0264562
7	-	11370357	11832198	ENSG00000005108.15	THSD7A	0.0166399	1	-0.425533	0
17	+	34980494	35009743	ENSG00000005156.11	LIG3	29.1337	0.662262	-0.247762	-0.229859
12	-	47661249	47706061	ENSG00000005175.9	RPAP3	36.0904	0.808131	-0.257944	-0.0143502
16	+	20610243	20797581	ENSG00000005187.11	ACSM3	15.5656	0.876988	-0.873968	-0.409508
16	+	20806429	20849668	ENSG00000005189.19	AC004381.6	9.07233	0.581268	-0.336464	-0.210936
16	-	57428169	57447528	ENSG00000005194.14	CIAPIN1	41.2301	0.979365	-0.678022	-0.592036
19	+	2328615	2354806	ENSG00000005206.16	SPPL2B	15.1156	0.563217	0.00440887	-0.099367
9	-	35104112	35116341	ENSG00000005238.19	FAM214B	3.49045	0.227837	-0.132087	-0.195941
17	-	48026167	48038030	ENSG00000005243.9	COPZ2	0.718483	0.790556	-0.316284	-0.486844
7	+	107044649	107161811	ENSG00000005249.12	PRKAR2B	0.149899	1	0.00642305	0
X	+	11758159	11775753	ENSG00000005302.17	MSL3	109.022	0.879073	-0.33672	-0.0799571
16	-	3725054	3880726	ENSG00000005339.14	CREBBP	88.7613	0.770466	-0.198245	-0.0630212
17	-	58301228	58328760	ENSG00000005379.15	TSPOAP1	0.67391	0.159418	0.691757	-0.00827836
2	-	75652000	75710989	ENSG00000005436.13	GCFC2	9.21885	0.580758	-0.269396	-0.189167
2	+	74421678	74425755	ENSG00000005448.16	WDR54	35.4498	0.789896	-0.152402	-0.0831135
7	+	87345681	87399795	ENSG00000005469.11	CROT	10.8321	0.874956	-0.271288	-0.213389
7	-	87401697	87480435	ENSG00000005471.15	ABCB4	5.51875	0.386062	-0.285962	-0.155446
7	+	105014179	105114361	ENSG00000005483.20	KMT2E	75.0565	0.63282	-0.375491	-0.276809
7	+	75842602	75888926	ENSG00000005486.16	RHBDD2	18.6932	0.975243	-0.364812	-0.0439292
16	+	981808	986979	ENSG00000005513.9	SOX8	0.143913	1	-1.18728	0
6	-	82169983	82247754	ENSG00000005700.14	IBTK	68.3791	0.650632	-0.592109	-0.188375
11	-	3339261	3379222	ENSG00000005801.16	ZNF195	25.4598	0.798148	-0.140892	-0.1098
13	-	77044655	77327050	ENSG00000005810.17	MYCBP2	107.176	0.406309	-0.0609897	-0.0964916
13	-	76992598	77027195	ENSG00000005812.10	FBXL3	30.3235	0.685906	-0.00514534	0.0232824
16	+	30472658	30523185	ENSG00000005844.17	ITGAL	29.4617	0.654763	0.0522163	-0.129421
17	+	50094737	50112152	ENSG00000005882.11	PDK2	1.43556	0.778352	-0.0155552	-0.0117834
17	+	50055968	50090481	ENSG00000005884.17	ITGA3	1.08222	0.563531	-0.256209	0.0693486
X	+	24149173	24216255	ENSG00000005889.15	ZFX	16.0279	0.440054	0.150544	0.0785711
X	-	120427827	120469365	ENSG00000005893.15	LAMP2	128.651	0.940254	-0.222684	-0.0266354
7	+	95478444	95540232	ENSG00000005981.12	ASB4	0.345319	1	0.0470392	0
16	-	19501689	19522145	ENSG00000006007.11	GDE1	30.9653	0.97464	-0.188318	0.00586045
19	+	18588685	18592336	ENSG00000006015.17	C19orf60	7.55529	0.901661	-0.469331	-0.0281831
17	-	47807372	47821834	ENSG00000006025.11	OSBPL7	2.79841	0.132997	0.048545	0.00223277
17	-	45263121	45317040	ENSG00000006062.13	MAP3K14	27.1047	0.474774	-0.722476	-0.353826
16	+	24255553	24362801	ENSG00000006116.3	CACNG3	0.387953	1	-1.59983	0
11	+	60924463	60937159	ENSG00000006118.14	TMEM132A	5.82635	0.622935	-0.454039	0.0823796
17	+	35578046	35726409	ENSG00000006125.16	AP2B1	218.375	0.936425	-0.164706	-0.0254738
7	+	97731908	97740472	ENSG00000006128.11	TAC1	0.199866	1	-1.32194	0
16	+	3263800	3301401	ENSG00000006194.9	ZNF263	21.668	0.48115	-0.0127673	-0.0454796
16	+	57372458	57385048	ENSG00000006210.6	CX3CL1	1.27901	1	-0.491627	-0.000267332
17	+	50543058	50555852	ENSG00000006282.20	SPATA20	0.655586	0.404573	0.184144	-0.115024
17	+	50561068	50627474	ENSG00000006283.17	CACNA1G	0.413316	1	-0.361707	0
16	+	3018445	3022383	ENSG00000006327.13	TNFRSF12A	0.44928	0.477492	-0.418889	0.200858
14	-	70722526	70809534	ENSG00000006432.15	MAP3K9	18.2942	0.885407	-0.184255	-0.00125925
7	+	39623483	39708124	ENSG00000006451.7	RALA	103.999	0.955956	-0.453335	-0.0457551
7	-	98291651	98401068	ENSG00000006453.13	BAIAP2L1	17.0116	0.713061	-0.697373	-0.105043
7	-	140084746	140177035	ENSG00000006459.10	KDM7A	1.85445	0.799378	-0.544152	-0.0589383
7	-	13891228	13991425	ENSG00000006468.13	ETV1	0.00713806	1	0.336205	0
7	+	141551189	141655244	ENSG00000006530.15	AGK	76.2586	0.876806	-0.233375	-0.132724
11	+	68008578	68029282	ENSG00000006534.15	ALDH3B1	0.90657	1	-1.36125	0
1	-	54779712	54801267	ENSG00000006555.10	TTC22	2.97928	0.98365	-0.545986	-0.0137557
7	+	77798792	77957503	ENSG00000006576.16	PHTF2	42.5696	0.70881	-0.17584	-0.210292
2	+	241356243	241494841	ENSG00000006607.13	FARP2	42.4796	0.903352	-0.160952	-0.0362372
7	-	30496621	30504844	ENSG00000006625.17	GGCT	51.9963	0.961862	-0.32611	-0.0305823
7	+	87876216	87909541	ENSG00000006634.7	DBF4	1.71593	0.661778	-0.469483	-0.204812
19	-	3594506	3606840	ENSG00000006638.11	TBXA2R	0.267959	1	-0.0261179	0
7	+	112422968	112481017	ENSG00000006652.13	IFRD1	30.815	0.813287	-0.0903226	-0.0568811
19	+	39704306	39709444	ENSG00000006659.12	LGALS14	0.263649	0.923392	0.522275	-0.0059015
17	+	14069496	14208677	ENSG00000006695.10	COX10	42.2841	0.906908	-0.438037	-0.194541
7	+	74453790	74602604	ENSG00000006704.10	GTF2IRD1	20.2969	0.650615	-1.08818	-0.0167876
19	-	39385852	39391195	ENSG00000006712.14	PAF1	60.5624	0.809361	-0.298672	-0.114288
7	-	38722963	38932394	ENSG00000006715.15	VPS41	75.567	0.783603	-0.230306	-0.150664
17	+	12789539	12991643	ENSG00000006740.16	ARHGAP44	2.99872	0.805043	-0.88822	0.0266342
17	-	12992391	13018187	ENSG00000006744.18	ELAC2	73.5856	0.80572	-0.428769	-0.0534061
7	+	12570577	12660179	ENSG00000006747.14	SCIN	3.21234	0.994823	-0.281506	-0.0893715
X	-	2903970	2929351	ENSG00000006756.15	ARSD	4.167	0.965188	-0.753095	-0.0523979
X	-	7898247	7927739	ENSG00000006757.11	PNPLA4	11.191	0.932042	-0.146917	-0.0150664
17	-	10298084	10373130	ENSG00000006788.12	MYH13	0.0713806	1	-0.910521	0
12	+	1688574	1788678	ENSG00000006831.9	ADIPOR2	57.1221	0.359993	-3.75688	-1.56819
5	-	134286350	134371047	ENSG00000006837.11	CDKL3	0.468568	0.29768	-0.0549796	0.337336
2	+	157876702	158136154	ENSG00000007001.12	UPP2	0.0285523	1	-0.58605	0
16	+	2817180	2826304	ENSG00000007038.10	PRSS21	1.72709	0.749443	-2.23982	-0.120712
19	+	45079288	45305283	ENSG00000007047.14	MARK4	38.9895	0.852513	-0.398798	-0.0979882
4	-	15963076	16084378	ENSG00000007062.11	PROM1	1.8511	0.997387	-2.26977	0.00112503
19	+	17933016	17943991	ENSG00000007080.10	CCDC124	63.4246	0.952921	-0.413761	-0.00286881
19	+	41549518	41586844	ENSG00000007129.17	CEACAM21	1.74918	0.856248	-0.291921	-0.365808
17	+	2593210	2685615	ENSG00000007168.12	PAFAH1B1	140.728	0.948997	-0.189435	-0.00130854
17	-	27756766	27800499	ENSG00000007171.16	NOS2	0.18559	1	-1.29135	0
17	-	28614440	28645454	ENSG00000007202.14	KIAA0100	46.8069	0.258205	-0.114118	-0.0176091
17	-	9910609	10198551	ENSG00000007237.18	GAS7	149.254	0.877886	-1.35482	-0.0107594
19	-	45162928	45178237	ENSG00000007255.10	TRAPPC6A	35.0493	0.908559	-0.159439	-0.0331989
19	-	3777970	3802129	ENSG00000007264.14	MATK	0.62711	0.998344	-1.0087	-0.306997
17	-	63928740	63932354	ENSG00000007312.12	CD79B	120.696	0.845938	-0.254271	-0.00380871
17	-	63938554	63972918	ENSG00000007314.11	SCN4A	0.606735	1	-0.115505	0
1	-	112523518	112620825	ENSG00000007341.18	ST7L	1.29843	0.775646	0.0853146	-0.0865463
X	+	154295671	154330350	ENSG00000007350.16	TKTL1	0.198121	1	-1.31832	0
11	-	31784792	31817961	ENSG00000007372.20	PAX6	1.68083	0.73772	-0.457783	0.122287
16	-	784974	788397	ENSG00000007376.7	RPUSD1	20.8488	0.784742	-0.270917	-0.0786266
16	-	58059	76355	ENSG00000007384.15	RHBDF1	0.227099	0.244985	-0.00173077	0.376179
16	-	188969	229463	ENSG00000007392.16	LUC7L	25.4654	0.85237	-0.462506	-0.0113882
3	-	50362799	50504244	ENSG00000007402.11	CACNA2D2	0.0856568	1	0.25915	0
16	+	1333601	1349441	ENSG00000007516.13	BAIAP3	0.491336	1	-0.113734	-1.01211
16	-	1349240	1351911	ENSG00000007520.3	TSR3	28.9203	0.772102	-0.127398	-0.03525
16	+	566995	584136	ENSG00000007541.16	PIGQ	12.2367	0.933927	-0.491146	-0.00944125
16	+	1612325	1677908	ENSG00000007545.15	CRAMP1	2.50313	0.109432	-1.29704	-0.896304
6	-	35473597	35497076	ENSG00000007866.18	TEAD3	0.00713806	1	1.10087	0
1	-	169722641	169764705	ENSG00000007908.15	SELE	0.0285523	1	-0.58605	0
1	-	6634168	6701924	ENSG00000007923.15	DNAJC11	84.659	0.791529	-0.454967	-0.166062
6	+	16129125	16148248	ENSG00000007944.14	MYLIP	40.1472	0.687915	-0.662821	-0.267753
X	-	100843324	100874345	ENSG00000007952.17	NOX1	0.364041	1	-0.644866	0
1	-	23506430	23531220	ENSG00000007968.6	E2F2	7.01697	0.922943	-0.397631	-0.370151
6	-	170535117	170553341	ENSG00000008018.8	PSMB1	186.545	0.977513	-0.169746	-0.0247139
X	-	47571898	47619853	ENSG00000008056.12	SYN1	1.88445	1	-0.76784	-0.00692456
6	+	15246296	15522040	ENSG00000008083.13	JARID2	44.6492	0.568625	-0.626704	-0.233729
X	+	18425583	18653629	ENSG00000008086.11	CDKL5	10.83	0.720382	-0.606999	0.0613429
1	+	209583717	209613938	ENSG00000008118.9	CAMK1G	0.062154	0.26087	-0.85826	0.57156
1	-	1702730	1724324	ENSG00000008128.22	CDK11A	1.59602	0.11484	-0.0874493	-0.365473
1	-	1751232	1780457	ENSG00000008130.15	NADK	62.8	0.55679	-0.055125	0.00634121
6	+	50818723	50847613	ENSG00000008196.12	TFAP2B	0.324926	0.98957	-1.52495	0.00450816
3	+	38039205	38124025	ENSG00000008226.19	DLEC1	0.176583	1	-0.121424	0
7	-	6161776	6272644	ENSG00000008256.15	CYTH3	82.7724	0.756409	-1.09244	-0.31237
7	+	87934143	88202889	ENSG00000008277.14	ADAM22	17.3433	0.530384	-0.205225	-0.000898073
7	-	106090503	106112576	ENSG00000008282.8	SYPL1	66.7911	0.972759	-0.303881	0.00456031
17	-	63432304	63446378	ENSG00000008283.15	CYB561	14.0003	1	-0.645583	0
17	-	50962174	51120865	ENSG00000008294.20	SPAG9	113.73	0.829948	-0.323427	-0.0538716
7	-	122075647	122144280	ENSG00000008311.14	AASS	0.531492	1	-1.73359	-0.207366
12	+	6310436	6328506	ENSG00000008323.15	PLEKHG6	11.4024	0.619424	-1.23019	0.011525
3	+	42581840	42595114	ENSG00000008324.10	SS18L2	33.5311	0.96604	-0.101232	-7.1804e-05
19	+	4343527	4360086	ENSG00000008382.15	MPND	12.2654	0.917934	-0.268256	-0.184409
12	+	16347142	16609259	ENSG00000008394.12	MGST1	48.9576	0.950762	-1.90018	0.000844342
12	-	106991364	107093829	ENSG00000008405.11	CRY1	4.10288	0.976735	-0.74006	-0.0883511
19	-	46019153	46023065	ENSG00000008438.4	PGLYRP1	0.0428284	1	-0.0222909	0
19	+	12995608	13098796	ENSG00000008441.16	NFIX	3.18622	0.998589	-0.565799	-0.00364865
8	-	133454848	133571940	ENSG00000008513.14	ST3GAL1	11.0417	0.791486	-0.0491503	0.0314276
16	+	3046681	3060726	ENSG00000008516.16	MMP25	0.564128	1	-1.75901	-2.00432
16	+	3065297	3082192	ENSG00000008517.16	IL32	130.645	0.986872	-0.83255	-0.00568534
16	-	2088710	2135898	ENSG00000008710.18	PKD1	0.170156	0.00354086	1.14236	0.407957
22	+	50600685	50613981	ENSG00000008735.13	MAPK8IP2	0.208199	0.694464	-1.33885	0.155784
17	-	40019097	40061215	ENSG00000008838.18	MED24	55.2799	0.574018	-0.232087	-0.121006
8	+	22987417	23020199	ENSG00000008853.16	RHOBTB2	42.7316	0.786896	-0.599744	-0.196943
2	-	36968383	37084342	ENSG00000008869.11	HEATR5B	19.5826	0.673439	0.0906178	-0.0965679
3	+	169966635	169998373	ENSG00000008952.16	SEC62	209.123	0.923601	-0.348948	-0.0295536
1	-	114716913	114758676	ENSG00000009307.15	CSDE1	847.571	0.871152	-0.23541	-0.0396452
7	+	157138913	157269372	ENSG00000009335.17	UBE3C	85.2589	0.637696	-0.213554	0.0404069
6	-	111299028	111483715	ENSG00000009413.15	REV3L	29.6404	0.534836	-0.331561	-0.122296
1	-	11026523	11047233	ENSG00000009724.16	MASP2	0.713806	1	0.15817	0
6	+	150368892	150405969	ENSG00000009765.14	IYD	0.251443	1	0.245857	0
1	+	27725979	27763122	ENSG00000009780.15	FAM76A	9.52402	0.987631	-0.165394	-0.034596
1	+	209756032	209782320	ENSG00000009790.14	TRAF3IP3	25.9388	0.875229	-0.0404708	-0.0632677
14	-	77274956	77320884	ENSG00000009830.11	POMT2	6.46075	0.797095	-0.414015	-0.0747232
6	+	142147162	142224689	ENSG00000009844.15	VTA1	85.3576	0.994054	-0.214634	-0.00564223
7	-	73440398	73522278	ENSG00000009954.10	BAZ1B	170.716	0.84429	-0.295504	-0.109744
6	-	13621498	13711564	ENSG00000010017.12	RANBP9	91.7977	0.862702	-0.312442	-0.0417259
6	-	36354091	36387800	ENSG00000010030.13	ETV7	5.05755	0.835535	-0.561456	-0.0942913
1	+	231337104	231355023	ENSG00000010072.15	SPRTN	10.9822	0.967426	-0.297754	-0.012628
1	+	171781664	171814023	ENSG00000010165.19	METTL13	52.1569	0.912322	-0.224914	-0.0772451
12	+	4562204	4615302	ENSG00000010219.13	DYRK4	3.82602	0.871399	-0.338224	-0.105556
17	+	32350109	32381886	ENSG00000010244.17	ZNF207	208.718	0.772821	-0.0114463	-0.0961055
3	-	48599002	48610976	ENSG00000010256.10	UQCRC1	112.961	0.877476	-0.582773	-0.0467222
7	+	38178222	38230671	ENSG00000010270.13	STARD3NL	80.6949	0.937529	-0.353484	-0.013271
12	+	6199715	6238271	ENSG00000010278.12	CD9	43.1941	0.979282	-1.46385	-0.0265826
12	+	6493356	6531955	ENSG00000010292.12	NCAPD2	83.4746	0.58533	-0.428005	-0.320853
12	-	6538375	6556083	ENSG00000010295.19	IFFO1	6.01026	0.710679	-0.173193	-0.0796326
19	+	45668244	45683724	ENSG00000010310.8	GIPR	0.206792	0.0130691	0.998171	0.346727
3	+	52410657	52423641	ENSG00000010318.20	PHF7	0.500795	0.289565	-1.61489	-1.43423
3	+	52455118	52493071	ENSG00000010322.15	NISCH	36.9012	0.545856	0.13158	0.00885909
3	+	52495338	52524495	ENSG00000010327.10	STAB1	0.0946595	1	0.349386	0
19	-	49806869	49817376	ENSG00000010361.13	FUZ	3.30883	0.81727	-0.227512	-0.286227
X	-	149476990	149521096	ENSG00000010404.17	IDS	166.463	0.670888	-0.180538	0.00779014
16	-	3222325	3236221	ENSG00000010539.11	ZNF200	13.5241	0.998645	-0.245645	-0.0507393
12	+	6786858	6820808	ENSG00000010610.9	CD4	3.62137	0.623372	-0.912704	0.114996
12	+	6873569	6914243	ENSG00000010626.14	LRRC23	7.85471	0.675151	-0.819217	-0.193268
X	-	101349447	101390796	ENSG00000010671.15	BTK	144.962	0.826341	-0.129315	-0.0487598
6	+	26087281	26098343	ENSG00000010704.18	HFE	3.92659	0.883082	-0.334746	-0.0891992
1	-	41027200	41242154	ENSG00000010803.16	SCMH1	29.5061	0.669548	-0.147868	-0.117192
6	-	111660332	111873452	ENSG00000010810.17	FYN	12.7819	0.937533	-0.751634	-0.0349471
6	-	142751467	142945201	ENSG00000010818.8	HIVEP2	13.2661	0.250709	0.270294	0.18609
1	+	23743155	23762059	ENSG00000011007.12	TCEB3	82.4817	0.847263	-0.251866	-0.0972025
1	+	23790970	23795539	ENSG00000011009.10	LYPLA2	66.9527	0.897908	-0.285828	-0.138673
1	+	11806096	11843144	ENSG00000011021.21	CLCN6	11.5903	0.19228	-0.25752	-0.29997
