chr	strand	start	end	gene_id	gene_symbol	omega	rate
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.382829	0.958609
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0	1
20	-	50934867	50958555	ENSG00000000419.12	DPM1	42.8561	0.930756
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	20.2615	0.762231
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	5.1102	0.678795
1	-	27612064	27635277	ENSG00000000938.12	FGR	92.6373	0.42309
1	+	196651878	196747504	ENSG00000000971.15	CFH	0	1
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	38.2254	0.896503
6	-	53497341	53616970	ENSG00000001084.10	GCLC	11.9315	0.900066
6	+	41072945	41099976	ENSG00000001167.14	NFYA	28.5239	0.436433
1	-	24356999	24416934	ENSG00000001460.17	STPG1	6.90307	0.986118
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	30.4916	0.896031
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	54.4017	0.685949
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	36.9406	0.942149
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.0539138	1
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.0404355	1
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	46.2639	0.626701
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	77.7995	0.971689
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	21.4023	0.833702
12	-	912077	990053	ENSG00000002016.17	RAD52	5.08951	0.798703
11	-	64269830	64284704	ENSG00000002330.13	BAD	28.177	0.99744
4	+	17577192	17607972	ENSG00000002549.12	LAP3	261.61	0.95498
X	+	2691179	2741309	ENSG00000002586.18	CD99	76.066	1
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	8.3879	1
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.026957	1
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.363919	1
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.191198	1
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	64.4045	0.904575
17	+	38869859	38921770	ENSG00000002834.17	LASP1	264.743	1
17	+	48103357	48123074	ENSG00000002919.14	SNX11	121.04	0.928178
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	0	1
12	-	8940363	8949955	ENSG00000003056.7	M6PR	228.324	0.986349
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	2.55088	0.998913
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	0	1
7	-	8113184	8262687	ENSG00000003147.17	ICA1	2.65594	0.880349
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	31.9426	1
2	-	201700554	201781189	ENSG00000003393.14	ALS2	9.91767	0.604493
2	+	201182881	201229406	ENSG00000003400.14	CASP10	18.1175	0.890057
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	201.262	0.990878
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.624975	0.995454
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	13.1575	0.880051
3	+	50088908	50119021	ENSG00000003756.16	RBM5	101.958	0.809694
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.737807	1
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.310005	1
7	+	127588345	127591705	ENSG00000004059.10	ARF5	97.7548	0.983515
17	+	28364356	28404049	ENSG00000004139.13	SARM1	4.86896	0.498443
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	162.81	0.893043
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	0.785587	0.922929
1	-	33007940	33080996	ENSG00000004455.16	AK2	300.159	0.985181
4	+	15778275	15853230	ENSG00000004468.12	CD38	184.191	0.963085
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	216.66	0.897915
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	125.053	0.920552
3	+	49940007	50100045	ENSG00000004534.14	RBM6	63.64	0.872632
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	4.07385	0.646951
12	-	21468911	21501669	ENSG00000004700.15	RECQL	65.7083	0.799199
7	+	93232340	93361121	ENSG00000004766.15	VPS50	20.399	0.951657
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.700881	1
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	1.21862	0.0718924
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	79.0524	0.994569
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0.0792543	1
6	-	110424687	110476641	ENSG00000004809.13	SLC22A16	0	1
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.232991	0.367292
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.0430391	1
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.0406856	1
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	16.3076	0.893587
7	+	116953238	117230103	ENSG00000004866.19	ST7	71.8959	0.901274
17	-	47117703	47189422	ENSG00000004897.11	CDC27	71.172	0.832958
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.122823	1
7	-	93424487	93574730	ENSG00000004948.13	CALCR	0	1
X	+	11111301	11123078	ENSG00000004961.14	HCCS	36.1582	0.947268
17	-	7225341	7234545	ENSG00000004975.11	DVL2	46.0477	0.747211
16	-	2852727	2858170	ENSG00000005001.9	PRSS22	0	1
19	+	18831938	18868236	ENSG00000005007.12	UPF1	155.74	0.665855
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	50.5997	0.91921
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	324.08	0.993008
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	40.2517	0.91084
7	-	27181510	27185223	ENSG00000005073.5	HOXA11	0	1
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	61.986	0.968462
17	-	5440912	5469060	ENSG00000005100.12	DHX33	54.4517	0.874126
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	0.0673923	1
7	-	11370357	11832198	ENSG00000005108.15	THSD7A	0.0134784	1
17	+	34980494	35009743	ENSG00000005156.11	LIG3	28.4067	0.652145
12	-	47661249	47706061	ENSG00000005175.9	RPAP3	28.4277	0.941645
16	+	20610243	20797581	ENSG00000005187.11	ACSM3	6.00584	0.882791
16	+	20806429	20849668	ENSG00000005189.19	AC004381.6	10.0613	0.785305
16	-	57428169	57447528	ENSG00000005194.14	CIAPIN1	48.8428	0.984376
19	+	2328615	2354806	ENSG00000005206.16	SPPL2B	29.3805	0.60188
9	-	35104112	35116341	ENSG00000005238.19	FAM214B	5.93494	0.376127
17	-	48026167	48038030	ENSG00000005243.9	COPZ2	0.534847	0.852406
7	+	107044649	107161811	ENSG00000005249.12	PRKAR2B	0.215656	1
X	+	11758159	11775753	ENSG00000005302.17	MSL3	83.9548	0.919331
16	-	3725054	3880726	ENSG00000005339.14	CREBBP	99.6725	0.833228
17	-	58301228	58328760	ENSG00000005379.15	TSPOAP1	2.81089	0.232013
17	-	58269856	58280935	ENSG00000005381.7	MPO	0.0134785	1
