chr	strand	start	end	gene_id	gene_symbol	omega	rate
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.0914125	1
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0	1
20	-	50934867	50958555	ENSG00000000419.12	DPM1	52.9795	0.921637
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	7.49796	0.184951
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	9.04985	0.68653
1	-	27612064	27635277	ENSG00000000938.12	FGR	49.8246	0.350412
1	+	196651878	196747504	ENSG00000000971.15	CFH	0	1
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	33.8537	0.886205
6	-	53497341	53616970	ENSG00000001084.10	GCLC	20.9984	0.982807
6	+	41072945	41099976	ENSG00000001167.14	NFYA	20.9652	0.316931
1	-	24356999	24416934	ENSG00000001460.17	STPG1	2.55886	0.808642
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	21.1385	0.844496
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	46.7812	0.694709
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	104.931	0.949213
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.199592	1
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.0071283	1
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	71.9167	0.729673
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	200.952	0.957145
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	19.9709	0.562526
12	-	912077	990053	ENSG00000002016.17	RAD52	4.79185	0.816883
11	-	64269830	64284704	ENSG00000002330.13	BAD	29.9123	0.96078
4	+	17577192	17607972	ENSG00000002549.12	LAP3	367.653	0.968278
X	+	2691179	2741309	ENSG00000002586.18	CD99	40.136	1
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	3.19532	1
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.071283	1
7	+	121325367	121341104	ENSG00000002745.12	WNT16	1.00051	0.954815
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.23606	1
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	40.1082	0.857941
17	+	38869859	38921770	ENSG00000002834.17	LASP1	255.923	0.995472
17	+	48103357	48123074	ENSG00000002919.14	SNX11	88.8117	0.910951
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	0	1
12	-	8940363	8949955	ENSG00000003056.7	M6PR	231.888	0.956601
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	0.541345	0.999253
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	0	1
7	-	8113184	8262687	ENSG00000003147.17	ICA1	0.997472	0.320779
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	49.6593	1
2	-	201700554	201781189	ENSG00000003393.14	ALS2	8.63577	0.468177
2	+	201182881	201229406	ENSG00000003400.14	CASP10	16.939	0.854864
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	262.425	0.957542
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.308874	1
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	17.5925	0.916653
3	+	50088908	50119021	ENSG00000003756.16	RBM5	82.6679	0.765602
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.906045	1
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.456211	1
7	+	127588345	127591705	ENSG00000004059.10	ARF5	58.5102	0.981179
17	+	28364356	28404049	ENSG00000004139.13	SARM1	7.90101	0.60567
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	143.934	0.923019
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	0.841969	0.562233
1	-	33007940	33080996	ENSG00000004455.16	AK2	349.511	0.962555
4	+	15778275	15853230	ENSG00000004468.12	CD38	34.6511	0.964704
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	225.871	0.892976
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	126	0.918794
3	+	49940007	50100045	ENSG00000004534.14	RBM6	73.9591	0.647953
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	2.9457	0.604047
12	-	21468911	21501669	ENSG00000004700.15	RECQL	77.9097	0.715728
7	+	93232340	93361121	ENSG00000004766.15	VPS50	18.8787	0.786781
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.0538186	1
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	0.646783	0.0671401
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	101.75	0.994818
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0	1
6	-	110424687	110476641	ENSG00000004809.13	SLC22A16	0	1
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.427377	1
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.0234257	1
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.0745363	1
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	29.5697	0.813202
7	+	116953238	117230103	ENSG00000004866.19	ST7	125.608	0.898827
17	-	47117703	47189422	ENSG00000004897.11	CDC27	94.2597	0.785498
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.390339	1
7	-	93424487	93574730	ENSG00000004948.13	CALCR	0	1
X	+	11111301	11123078	ENSG00000004961.14	HCCS	33.0662	0.876719
17	-	7225341	7234545	ENSG00000004975.11	DVL2	37.56	0.668638
16	-	2852727	2858170	ENSG00000005001.9	PRSS22	0	1
19	+	18831938	18868236	ENSG00000005007.12	UPF1	85.8569	0.64495
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	68.2052	0.980348
