chr	strand	start	end	gene_id	gene_symbol	omega	rate
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.836668	0.981172
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0	1
20	-	50934867	50958555	ENSG00000000419.12	DPM1	58.9197	0.927585
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	15.4359	0.288246
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	7.92145	0.509503
1	-	27612064	27635277	ENSG00000000938.12	FGR	20.4837	0.305319
1	+	196651878	196747504	ENSG00000000971.15	CFH	0	1
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	35.4711	0.907079
6	-	53497341	53616970	ENSG00000001084.10	GCLC	10.2292	0.932994
6	+	41072945	41099976	ENSG00000001167.14	NFYA	38.2917	0.521979
1	-	24356999	24416934	ENSG00000001460.17	STPG1	1.83068	0.979021
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	20.902	0.939548
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	61.5605	0.701344
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	25.0726	0.864357
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.15283	1
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.0611323	1
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	43.0539	0.516546
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	119.951	0.978851
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	10.8535	0.644393
12	-	912077	990053	ENSG00000002016.17	RAD52	3.99555	0.663035
11	-	64269830	64284704	ENSG00000002330.13	BAD	28.3606	0.995781
4	+	17577192	17607972	ENSG00000002549.12	LAP3	213.633	0.934575
X	+	2691179	2741309	ENSG00000002586.18	CD99	71.3114	1
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	4.5251	1
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.0801939	1
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.229245	1
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.0764477	1
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	45.0881	0.663182
17	+	38869859	38921770	ENSG00000002834.17	LASP1	199.074	0.80604
17	+	48103357	48123074	ENSG00000002919.14	SNX11	82.6566	0.928261
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	0	1
12	-	8940363	8949955	ENSG00000003056.7	M6PR	245.568	0.989409
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	1.88461	0.986507
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	0	1
7	-	8113184	8262687	ENSG00000003147.17	ICA1	2.67503	0.675076
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	16.1598	1
2	-	201700554	201781189	ENSG00000003393.14	ALS2	9.18879	0.581336
2	+	201182881	201229406	ENSG00000003400.14	CASP10	6.99234	0.923021
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	120.911	0.985031
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.309912	1
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	15.8629	0.812661
3	+	50088908	50119021	ENSG00000003756.16	RBM5	64.0353	0.742336
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.906176	1
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.290379	1
7	+	127588345	127591705	ENSG00000004059.10	ARF5	83.1219	0.993764
17	+	28364356	28404049	ENSG00000004139.13	SARM1	6.24572	0.735867
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	156.564	0.888876
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	0.440827	1
1	-	33007940	33080996	ENSG00000004455.16	AK2	337.424	0.996363
4	+	15778275	15853230	ENSG00000004468.12	CD38	11.0178	0.904643
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	269.212	0.821193
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	149.433	0.924258
3	+	49940007	50100045	ENSG00000004534.14	RBM6	63.6349	0.780759
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	2.2055	0.598222
12	-	21468911	21501669	ENSG00000004700.15	RECQL	72.0444	0.762247
7	+	93232340	93361121	ENSG00000004766.15	VPS50	20.8211	0.944475
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.183397	1
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	3.25587	0.181027
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	88.364	0.997501
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0	1
6	-	110424687	110476641	ENSG00000004809.13	SLC22A16	0	1
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.200285	1
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.0460161	1
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.0458492	1
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	19.9703	0.768585
7	+	116953238	117230103	ENSG00000004866.19	ST7	187.948	0.906485
17	-	47117703	47189422	ENSG00000004897.11	CDC27	59.5196	0.517716
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.0475086	1
7	-	93424487	93574730	ENSG00000004948.13	CALCR	0	1
X	+	11111301	11123078	ENSG00000004961.14	HCCS	29.8387	0.92443
17	-	7225341	7234545	ENSG00000004975.11	DVL2	53.8452	0.733137
16	-	2852727	2858170	ENSG00000005001.9	PRSS22	0	1
19	+	18831938	18868236	ENSG00000005007.12	UPF1	63.0776	0.646175
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	31.4151	0.96791
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	390.643	0.996709
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	33.489	0.944175
7	-	27181510	27185223	ENSG00000005073.5	HOXA11	0	1
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	54.962	0.958155
17	-	5440912	5469060	ENSG00000005100.12	DHX33	34.8624	0.692689
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	0.626606	1
7	-	11370357	11832198	ENSG00000005108.15	THSD7A	0.0458491	1
17	+	34980494	35009743	ENSG00000005156.11	LIG3	31.1371	0.745611
12	-	47661249	47706061	ENSG00000005175.9	RPAP3	33.1048	0.941177
16	+	20610243	20797581	ENSG00000005187.11	ACSM3	5.99222	0.86504
16	+	20806429	20849668	ENSG00000005189.19	AC004381.6	7.15747	0.667689
16	-	57428169	57447528	ENSG00000005194.14	CIAPIN1	38.4208	0.985343
19	+	2328615	2354806	ENSG00000005206.16	SPPL2B	24.7966	0.7039
9	-	35104112	35116341	ENSG00000005238.19	FAM214B	1.02136	0.20313
17	-	48026167	48038030	ENSG00000005243.9	COPZ2	0.916929	0.813969
7	+	107044649	107161811	ENSG00000005249.12	PRKAR2B	0.0764153	1
X	+	11758159	11775753	ENSG00000005302.17	MSL3	33.2384	0.845266
16	-	3725054	3880726	ENSG00000005339.14	CREBBP	45.0945	0.729316
17	-	58301228	58328760	ENSG00000005379.15	TSPOAP1	6.90444	0.430354
17	-	58269856	58280935	ENSG00000005381.7	MPO	0.0764153	1
7	-	95297676	95324707	ENSG00000005421.8	PON1	0.0716796	1
2	-	75652000	75710989	ENSG00000005436.13	GCFC2	15.1465	0.780308
2	+	74421678	74425755	ENSG00000005448.16	WDR54	48.4222	0.860729
7	+	87345681	87399795	ENSG00000005469.11	CROT	7.42333	0.939231
7	-	87401697	87480435	ENSG00000005471.15	ABCB4	3.28393	0.696047
7	+	105014179	105114361	ENSG00000005483.20	KMT2E	31.9225	0.443524
7	+	75842602	75888926	ENSG00000005486.16	RHBDD2	24.042	0.91497
16	+	981808	986979	ENSG00000005513.9	SOX8	0.492659	1
6	-	82169983	82247754	ENSG00000005700.14	IBTK	26.3207	0.629491
11	-	3339261	3379222	ENSG00000005801.16	ZNF195	36.7396	0.840943
13	-	77044655	77327050	ENSG00000005810.17	MYCBP2	89.8357	0.62299
13	-	76992598	77027195	ENSG00000005812.10	FBXL3	18.6207	0.718385
16	+	30472658	30523185	ENSG00000005844.17	ITGAL	13.0416	0.633504
17	+	50094737	50112152	ENSG00000005882.11	PDK2	3.92775	0.875857
17	+	50055968	50090481	ENSG00000005884.17	ITGA3	1.42713	0.776593
X	+	24149173	24216255	ENSG00000005889.15	ZFX	17.9777	0.621204
X	-	120427827	120469365	ENSG00000005893.15	LAMP2	117.421	0.961217
17	-	44372180	44389505	ENSG00000005961.17	ITGA2B	0.0458492	1
7	+	95478444	95540232	ENSG00000005981.12	ASB4	0.40122	1
16	-	19501689	19522145	ENSG00000006007.11	GDE1	38.1504	0.99775
19	+	18588685	18592336	ENSG00000006015.17	C19orf60	8.39706	0.92441
19	-	18572220	18607741	ENSG00000006016.10	CRLF1	0	1
17	-	47807372	47821834	ENSG00000006025.11	OSBPL7	5.98002	0.24562
17	+	32927910	32945106	ENSG00000006042.11	TMEM98	0.122265	1
17	-	7288252	7294615	ENSG00000006047.12	YBX2	0	1
17	-	41346092	41350812	ENSG00000006059.3	KRT33A	0	1
17	-	45263121	45317040	ENSG00000006062.13	MAP3K14	20.3065	0.617063
11	-	17392885	17476845	ENSG00000006071.12	ABCC8	0	1
16	+	24255553	24362801	ENSG00000006116.3	CACNG3	0.152831	1
11	+	60924463	60937159	ENSG00000006118.14	TMEM132A	24.5942	0.76245
17	+	35578046	35726409	ENSG00000006125.16	AP2B1	177.021	0.941574
7	+	97731908	97740472	ENSG00000006128.11	TAC1	0.0764153	1
16	+	3263800	3301401	ENSG00000006194.9	ZNF263	29.0563	0.562546
16	+	57372458	57385048	ENSG00000006210.6	CX3CL1	0.68793	1
17	+	50543058	50555852	ENSG00000006282.20	SPATA20	5.23053	0.541939
