chr	strand	start	end	gene_id	gene_symbol	omega	rate
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.307751	1
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0	1
20	-	50934867	50958555	ENSG00000000419.12	DPM1	59.8512	0.914121
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	13.3863	0.324982
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	7.52165	0.507206
1	-	27612064	27635277	ENSG00000000938.12	FGR	13.016	0.218807
1	+	196651878	196747504	ENSG00000000971.15	CFH	0	1
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	30.9095	0.865483
6	-	53497341	53616970	ENSG00000001084.10	GCLC	20.6008	0.874898
6	+	41072945	41099976	ENSG00000001167.14	NFYA	29.7646	0.444594
1	-	24356999	24416934	ENSG00000001460.17	STPG1	2.08656	0.841055
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	23.0955	0.913649
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	41.5542	0.607651
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	91.5906	0.890753
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0	1
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.214142	1
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	84.9656	0.807322
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	190.466	0.962546
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	21.261	0.621561
12	-	912077	990053	ENSG00000002016.17	RAD52	7.02928	0.802644
11	-	64269830	64284704	ENSG00000002330.13	BAD	25.1128	0.988877
4	+	17577192	17607972	ENSG00000002549.12	LAP3	317.015	0.950823
X	+	2691179	2741309	ENSG00000002586.18	CD99	57.7353	1
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	5.93622	1
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.185789	1
7	+	121325367	121341104	ENSG00000002745.12	WNT16	1.21247	0.965111
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.407227	1
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	37.089	0.822081
17	+	38869859	38921770	ENSG00000002834.17	LASP1	204.411	0.971889
17	+	48103357	48123074	ENSG00000002919.14	SNX11	110.829	0.928927
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	0	1
12	-	8940363	8949955	ENSG00000003056.7	M6PR	250.836	0.973275
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	0.389172	0.991284
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	0	1
7	-	8113184	8262687	ENSG00000003147.17	ICA1	1.26044	0.483487
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	52.3496	0.994481
2	-	201700554	201781189	ENSG00000003393.14	ALS2	9.81953	0.511246
2	+	201182881	201229406	ENSG00000003400.14	CASP10	13.6826	0.780066
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	206.715	0.95752
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.304709	1
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	16.0188	0.778374
3	+	50088908	50119021	ENSG00000003756.16	RBM5	85.6392	0.780011
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.863101	1
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.479024	1
7	+	127588345	127591705	ENSG00000004059.10	ARF5	52.7344	0.983151
17	+	28364356	28404049	ENSG00000004139.13	SARM1	4.6335	0.482754
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	138.804	0.896195
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	0.0687557	1
1	-	33007940	33080996	ENSG00000004455.16	AK2	356.355	0.977274
4	+	15778275	15853230	ENSG00000004468.12	CD38	48.7131	0.978121
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	279.34	0.865881
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	132.912	0.90131
3	+	49940007	50100045	ENSG00000004534.14	RBM6	67.9092	0.692399
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	6.0364	0.741162
12	-	21468911	21501669	ENSG00000004700.15	RECQL	85.4816	0.779883
7	+	93232340	93361121	ENSG00000004766.15	VPS50	16.1615	0.775177
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.321213	1
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	1.18213	0.114517
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	95.1094	0.996175
