chr	strand	start	end	gene_id	gene_symbol	omega	rate
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.138901	1
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0	1
20	-	50934867	50958555	ENSG00000000419.12	DPM1	48.3474	0.87081
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	15.7527	0.308573
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	7.17552	0.687629
1	-	27612064	27635277	ENSG00000000938.12	FGR	29.7136	0.327923
1	+	196651878	196747504	ENSG00000000971.15	CFH	0	1
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	23.6546	0.887731
6	-	53497341	53616970	ENSG00000001084.10	GCLC	18.5131	0.905869
6	+	41072945	41099976	ENSG00000001167.14	NFYA	52.0499	0.625062
1	-	24356999	24416934	ENSG00000001460.17	STPG1	0.972055	0.820513
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	20.1266	0.869292
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	45.2356	0.599669
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	73.8406	0.911234
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.535013	1
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.0305528	1
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	71.8036	0.69724
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	184.487	0.968001
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	24.5784	0.544485
12	-	912077	990053	ENSG00000002016.17	RAD52	4.93339	0.875631
11	-	64269830	64284704	ENSG00000002330.13	BAD	22.2175	0.97829
4	+	17577192	17607972	ENSG00000002549.12	LAP3	298.954	0.95198
X	+	2691179	2741309	ENSG00000002586.18	CD99	49.9568	1
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	3.0658	1
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.0508531	1
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.190955	1
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.149889	0.842602
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	35.1808	0.843949
17	+	38869859	38921770	ENSG00000002834.17	LASP1	254.956	0.993624
17	+	48103357	48123074	ENSG00000002919.14	SNX11	94.4804	0.952966
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	0.00763819	1
12	-	8940363	8949955	ENSG00000003056.7	M6PR	271.78	0.985268
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	2.07296	0.983311
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	0	1
7	-	8113184	8262687	ENSG00000003147.17	ICA1	1.19408	0.416101
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	14.5539	1
2	-	201700554	201781189	ENSG00000003393.14	ALS2	11.8746	0.556175
2	+	201182881	201229406	ENSG00000003400.14	CASP10	9.10389	0.744376
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	151.333	0.982693
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.171977	1
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	12.4629	0.790475
3	+	50088908	50119021	ENSG00000003756.16	RBM5	94.0571	0.765263
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	1.41307	1
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.618693	1
7	+	127588345	127591705	ENSG00000004059.10	ARF5	50.9449	0.988627
17	+	28364356	28404049	ENSG00000004139.13	SARM1	6.72741	0.5367
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	148.229	0.904177
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	0.128943	1
1	-	33007940	33080996	ENSG00000004455.16	AK2	339.684	0.956782
4	+	15778275	15853230	ENSG00000004468.12	CD38	26.0695	0.927006
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	247.665	0.8806
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	135.708	0.906968
3	+	49940007	50100045	ENSG00000004534.14	RBM6	67.8692	0.644642
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	1.64602	0.331022
12	-	21468911	21501669	ENSG00000004700.15	RECQL	62.027	0.663475
7	+	93232340	93361121	ENSG00000004766.15	VPS50	12.733	0.74846
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.0832769	1
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	1.06709	0.071622
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	83.462	0.993096
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0.0891339	1
6	-	110424687	110476641	ENSG00000004809.13	SLC22A16	0.0666648	1
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.498006	1
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.215752	1
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.0152927	1
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	18.3341	0.766465
7	+	116953238	117230103	ENSG00000004866.19	ST7	104.799	0.922747
17	-	47117703	47189422	ENSG00000004897.11	CDC27	90.393	0.756817
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.525569	0.994455
7	-	93424487	93574730	ENSG00000004948.13	CALCR	0	1
X	+	11111301	11123078	ENSG00000004961.14	HCCS	24.2554	0.90112
17	-	7225341	7234545	ENSG00000004975.11	DVL2	37.2692	0.548518
16	-	2852727	2858170	ENSG00000005001.9	PRSS22	0	1
19	+	18831938	18868236	ENSG00000005007.12	UPF1	0	0
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	27.8837	0.962462
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	240.07	0.986448
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	31.9512	0.898974
7	-	27181510	27185223	ENSG00000005073.5	HOXA11	0.0840201	1
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	52.5242	0.98132
17	-	5440912	5469060	ENSG00000005100.12	DHX33	48.5221	0.808511
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	0.0381909	1
7	-	11370357	11832198	ENSG00000005108.15	THSD7A	0.175678	1
