chr	strand	start	end	gene_id	gene_symbol	omega	rate
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.269504	1
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0	1
20	-	50934867	50958555	ENSG00000000419.12	DPM1	58.8479	0.926117
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	11.3047	0.225322
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	3.74529	0.622856
1	-	27612064	27635277	ENSG00000000938.12	FGR	40.6359	0.39996
1	+	196651878	196747504	ENSG00000000971.15	CFH	0.152375	1
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	25.0273	0.860062
6	-	53497341	53616970	ENSG00000001084.10	GCLC	21.9996	0.906348
6	+	41072945	41099976	ENSG00000001167.14	NFYA	41.4381	0.607461
1	-	24356999	24416934	ENSG00000001460.17	STPG1	0.81114	0.966608
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	16.9346	0.973238
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	46.8069	0.675256
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	64.6037	0.925719
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.123633	1
7	+	117465784	117715971	ENSG00000001626.14	CFTR	2.65119	0.981492
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	99.306	0.706398
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	227.714	0.9663
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	16.5071	0.493671
12	-	912077	990053	ENSG00000002016.17	RAD52	6.45128	0.940773
11	-	64269830	64284704	ENSG00000002330.13	BAD	31.6398	0.981365
4	+	17577192	17607972	ENSG00000002549.12	LAP3	485.267	0.947193
X	+	2691179	2741309	ENSG00000002586.18	CD99	12.7195	0.484197
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	1.77417	1
7	+	150824627	150861504	ENSG00000002726.20	AOC1	20.4761	0.891683
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.290897	1
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.541728	0.992798
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	29.2176	0.727105
17	+	38869859	38921770	ENSG00000002834.17	LASP1	282.034	0.979575
17	+	48103357	48123074	ENSG00000002919.14	SNX11	124.76	0.899727
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	18.3528	0.945124
12	-	8940363	8949955	ENSG00000003056.7	M6PR	219.844	0.949701
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	2.54533	0.998633
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	0	1
7	-	8113184	8262687	ENSG00000003147.17	ICA1	3.2751	0.858513
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	29.2651	1
2	-	201700554	201781189	ENSG00000003393.14	ALS2	13.5733	0.548983
2	+	201182881	201229406	ENSG00000003400.14	CASP10	13.8129	0.902669
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	258.535	0.969982
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.78237	0.999918
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	14.7975	0.842922
3	+	50088908	50119021	ENSG00000003756.16	RBM5	90.9852	0.710842
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	1.22411	1
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	1.07355	1
7	+	127588345	127591705	ENSG00000004059.10	ARF5	62.8036	0.988663
17	+	28364356	28404049	ENSG00000004139.13	SARM1	8.0553	0.505734
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	134.674	0.882509
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	1.02147	0.603751
1	-	33007940	33080996	ENSG00000004455.16	AK2	250.337	0.823305
4	+	15778275	15853230	ENSG00000004468.12	CD38	70.6215	0.959398
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	240.552	0.913542
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	155.644	0.902864
3	+	49940007	50100045	ENSG00000004534.14	RBM6	114.164	0.739904
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	2.14616	0.501401
12	-	21468911	21501669	ENSG00000004700.15	RECQL	79.5017	0.72891
7	+	93232340	93361121	ENSG00000004766.15	VPS50	21.1613	0.830692
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.0138522	1
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	0	0
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	87.5492	0.990833
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0.748021	1
6	-	110424687	110476641	ENSG00000004809.13	SLC22A16	0	1
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.272991	1
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.154736	1
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.249405	1
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	14.239	0.520849
7	+	116953238	117230103	ENSG00000004866.19	ST7	80.8139	0.92999
17	-	47117703	47189422	ENSG00000004897.11	CDC27	99.4133	0.725045
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.252063	1
7	-	93424487	93574730	ENSG00000004948.13	CALCR	0	1
X	+	11111301	11123078	ENSG00000004961.14	HCCS	43.8788	0.947258
17	-	7225341	7234545	ENSG00000004975.11	DVL2	48.3392	0.85242
16	-	2852727	2858170	ENSG00000005001.9	PRSS22	0	1
19	+	18831938	18868236	ENSG00000005007.12	UPF1	95.6452	0.647256
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	68.4709	0.952665
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	322.654	0.994911
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	37.9148	0.916282
7	-	27181510	27185223	ENSG00000005073.5	HOXA11	0	1
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	56.5203	0.986436
17	-	5440912	5469060	ENSG00000005100.12	DHX33	42.2305	0.776271
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	3.93098	0.975187
7	-	11370357	11832198	ENSG00000005108.15	THSD7A	0	1
17	+	34980494	35009743	ENSG00000005156.11	LIG3	28.974	0.778807
12	-	47661249	47706061	ENSG00000005175.9	RPAP3	44.17	0.919486
16	+	20610243	20797581	ENSG00000005187.11	ACSM3	11.5787	0.914828
16	+	20806429	20849668	ENSG00000005189.19	AC004381.6	6.87493	0.820718
16	-	57428169	57447528	ENSG00000005194.14	CIAPIN1	47.1891	0.981885
19	+	2328615	2354806	ENSG00000005206.16	SPPL2B	10.613	0.433368
9	-	35104112	35116341	ENSG00000005238.19	FAM214B	8.73179	0.39038
17	-	48026167	48038030	ENSG00000005243.9	COPZ2	1.30197	0.770626
7	+	107044649	107161811	ENSG00000005249.12	PRKAR2B	0.498681	1
X	+	11758159	11775753	ENSG00000005302.17	MSL3	148.79	0.802912
16	-	3725054	3880726	ENSG00000005339.14	CREBBP	95.1765	0.826346
17	-	58301228	58328760	ENSG00000005379.15	TSPOAP1	0.767042	0.0819298
17	-	58269856	58280935	ENSG00000005381.7	MPO	0	1
7	-	95297676	95324707	ENSG00000005421.8	PON1	0	1
2	-	75652000	75710989	ENSG00000005436.13	GCFC2	10.976	0.59073
2	+	74421678	74425755	ENSG00000005448.16	WDR54	30.899	0.807281
7	+	87345681	87399795	ENSG00000005469.11	CROT	12.5791	0.690352
7	-	87401697	87480435	ENSG00000005471.15	ABCB4	5.65734	0.403643
7	+	105014179	105114361	ENSG00000005483.20	KMT2E	41.1225	0.455692
7	+	75842602	75888926	ENSG00000005486.16	RHBDD2	22.301	0.919971
16	+	981808	986979	ENSG00000005513.9	SOX8	0	1
6	-	82169983	82247754	ENSG00000005700.14	IBTK	70.8703	0.657599
11	-	3339261	3379222	ENSG00000005801.16	ZNF195	20.8442	0.745495
13	-	77044655	77327050	ENSG00000005810.17	MYCBP2	92.6451	0.308091
13	-	76992598	77027195	ENSG00000005812.10	FBXL3	29.7446	0.678665
16	+	30472658	30523185	ENSG00000005844.17	ITGAL	8.50334	0.669394
17	+	50094737	50112152	ENSG00000005882.11	PDK2	3.80837	0.932369
17	+	50055968	50090481	ENSG00000005884.17	ITGA3	1.60297	0.447037
X	+	24149173	24216255	ENSG00000005889.15	ZFX	33.0369	0.543101
X	-	120427827	120469365	ENSG00000005893.15	LAMP2	114.744	0.955248
17	-	44372180	44389505	ENSG00000005961.17	ITGA2B	0.0831134	1
7	+	95478444	95540232	ENSG00000005981.12	ASB4	0.353232	1
16	-	19501689	19522145	ENSG00000006007.11	GDE1	39.2477	0.991068
19	+	18588685	18592336	ENSG00000006015.17	C19orf60	5.78529	0.853991
19	-	18572220	18607741	ENSG00000006016.10	CRLF1	0	1
17	-	47807372	47821834	ENSG00000006025.11	OSBPL7	4.42988	0.222595
17	+	32927910	32945106	ENSG00000006042.11	TMEM98	0.132756	1
17	-	7288252	7294615	ENSG00000006047.12	YBX2	0.168864	0.975233
17	-	41346092	41350812	ENSG00000006059.3	KRT33A	0	1
17	-	45263121	45317040	ENSG00000006062.13	MAP3K14	33.8917	0.547824
11	-	17392885	17476845	ENSG00000006071.12	ABCC8	0	1
16	+	24255553	24362801	ENSG00000006116.3	CACNG3	0.459189	1
11	+	60924463	60937159	ENSG00000006118.14	TMEM132A	4.20993	0.614682
17	+	35578046	35726409	ENSG00000006125.16	AP2B1	229.599	0.909697
7	+	97731908	97740472	ENSG00000006128.11	TAC1	0	1
16	+	3263800	3301401	ENSG00000006194.9	ZNF263	26.2721	0.56431
16	+	57372458	57385048	ENSG00000006210.6	CX3CL1	0.322969	1
17	+	50543058	50555852	ENSG00000006282.20	SPATA20	0.513883	0.621159
17	+	50561068	50627474	ENSG00000006283.17	CACNA1G	0.65798	1
16	+	3018445	3022383	ENSG00000006327.13	TNFRSF12A	0.519459	1
7	+	97005548	97011039	ENSG00000006377.10	DLX6	0.0149308	1
14	-	70722526	70809534	ENSG00000006432.15	MAP3K9	25.5897	0.95822
7	+	39623483	39708124	ENSG00000006451.7	RALA	83.5858	0.944644
