chr	strand	start	end	gene_id	gene_symbol	omega	rate
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	1.0109	1
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0	1
20	-	50934867	50958555	ENSG00000000419.12	DPM1	57.8725	0.931868
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	9.63128	0.25217
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	18.3045	0.745513
1	-	27612064	27635277	ENSG00000000938.12	FGR	21.8502	0.257615
1	+	196651878	196747504	ENSG00000000971.15	CFH	3.95043	0.831904
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	34.7225	0.845734
6	-	53497341	53616970	ENSG00000001084.10	GCLC	24.8169	0.966222
6	+	41072945	41099976	ENSG00000001167.14	NFYA	30.9769	0.429033
1	-	24356999	24416934	ENSG00000001460.17	STPG1	3.47873	0.694867
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	4.25543	0.114771
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	65.7969	0.701935
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	22.4012	0.935591
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.583737	0.953007
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.103234	1
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	90.5331	0.806749
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	91.8406	0.97029
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	35.3118	0.786307
12	-	912077	990053	ENSG00000002016.17	RAD52	4.41755	0.773817
11	-	64269830	64284704	ENSG00000002330.13	BAD	22.858	0.991278
4	+	17577192	17607972	ENSG00000002549.12	LAP3	459.236	0.958838
X	+	2691179	2741309	ENSG00000002586.18	CD99	28.3038	1
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	3.65202	1
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.0550582	1
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.557463	1
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0.00690463	1
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	32.2945	0.737434
17	+	38869859	38921770	ENSG00000002834.17	LASP1	285.78	0.976957
17	+	48103357	48123074	ENSG00000002919.14	SNX11	103.314	0.948224
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	0.516768	1
12	-	8940363	8949955	ENSG00000003056.7	M6PR	264.963	0.948172
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	0.867166	1
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	0.268409	1
