DCDC2B	ENSG00000222046.2	+	chr1	32209094	32216196	protein_coding
SESN2	ENSG00000130766.4	+	chr1	28259527	28282491	protein_coding
CDC20	ENSG00000117399.13	+	chr1	43358955	43363203	protein_coding
ARID1A	ENSG00000117713.18	+	chr1	26693236	26782104	protein_coding
ZCCHC17	ENSG00000121766.15	+	chr1	31296982	31364953	protein_coding
ZC3H12A	ENSG00000163874.9	+	chr1	37474552	37484379	protein_coding
ADPRHL2	ENSG00000116863.10	+	chr1	36088875	36093932	protein_coding
GJB4	ENSG00000189433.5	+	chr1	34759741	34763724	protein_coding
HCRTR1	ENSG00000121764.11	+	chr1	31617686	31632518	protein_coding
PPCS	ENSG00000127125.8	+	chr1	42456117	42473385	protein_coding
TMCO2	ENSG00000188800.5	+	chr1	40245947	40251691	protein_coding
HMGB4	ENSG00000176256.10	+	chr1	33860475	33864791	protein_coding
MPL	ENSG00000117400.15	+	chr1	43337807	43352772	protein_coding
ZMPSTE24	ENSG00000084073.8	+	chr1	40258107	40294184	protein_coding
CCDC28B	ENSG00000160050.14	+	chr1	32200386	32205387	protein_coding
CAP1	ENSG00000131236.16	+	chr1	40040233	40072649	protein_coding
AGO1	ENSG00000092847.11	+	chr1	35869808	35930528	protein_coding
EXO5	ENSG00000164002.11	+	chr1	40508741	40516556	protein_coding
RAB42	ENSG00000188060.6	+	chr1	28592200	28595443	protein_coding
GJA4	ENSG00000187513.8	+	chr1	34792998	34795747	protein_coding
TXLNA	ENSG00000084652.15	+	chr1	32179686	32198285	protein_coding
GJB5	ENSG00000189280.3	+	chr1	34755047	34758512	protein_coding
ZMYM4	ENSG00000146463.11	+	chr1	35268967	35422058	protein_coding
RNF220	ENSG00000187147.17	+	chr1	44405194	44651724	protein_coding
IQCC	ENSG00000160051.11	+	chr1	32205661	32208687	protein_coding
ZFP69	ENSG00000187815.9	+	chr1	40477215	40496343	protein_coding
YBX1	ENSG00000065978.18	+	chr1	42682427	42702349	protein_coding
TRNP1	ENSG00000253368.3	+	chr1	26993707	27000898	protein_coding
AZIN2	ENSG00000142920.16	+	chr1	33081104	33120530	protein_coding
TFAP2E	ENSG00000116819.6	+	chr1	35573370	35595328	protein_coding
FAM76A	ENSG00000009780.15	+	chr1	27725979	27763122	protein_coding
ARTN	ENSG00000117407.16	+	chr1	43933320	43937241	protein_coding
C1orf50	ENSG00000164008.14	+	chr1	42767269	42775747	protein_coding
CFAP57	ENSG00000243710.7	+	chr1	43172149	43254358	protein_coding
CCDC30	ENSG00000186409.14	+	chr1	42463330	42654664	protein_coding
IPO13	ENSG00000117408.10	+	chr1	43946939	43968022	protein_coding
KLF17	ENSG00000171872.4	+	chr1	44118850	44135140	protein_coding
CDCA8	ENSG00000134690.10	+	chr1	37692418	37709719	protein_coding
AGO4	ENSG00000134698.10	+	chr1	35808172	35857890	protein_coding
GMEB1	ENSG00000162419.12	+	chr1	28668732	28719353	protein_coding
KPNA6	ENSG00000025800.13	+	chr1	32108038	32176568	protein_coding
BMP8A	ENSG00000183682.7	+	chr1	39491646	39525935	protein_coding
NCDN	ENSG00000020129.15	+	chr1	35557473	35567274	protein_coding
SYTL1	ENSG00000142765.17	+	chr1	27342020	27353937	protein_coding
FAM183A	ENSG00000186973.10	+	chr1	43145153	43156396	protein_coding
EIF3I	ENSG00000084623.11	+	chr1	32221928	32231604	protein_coding
C1orf228	ENSG00000198520.10	+	chr1	44674692	44725591	protein_coding
C1orf94	ENSG00000142698.14	+	chr1	34166883	34219131	protein_coding
CTPS1	ENSG00000171793.13	+	chr1	40979335	41012565	protein_coding
C1orf122	ENSG00000197982.13	+	chr1	37806979	37809454	protein_coding
DMAP1	ENSG00000178028.13	+	chr1	44213455	44220681	protein_coding
RP5-994D16.11	ENSG00000274386.5	+	chr1	42785007	42816619	protein_coding
KDM4A	ENSG00000066135.12	+	chr1	43650158	43705515	protein_coding
GUCA2B	ENSG00000044012.3	+	chr1	42153421	42155824	protein_coding
SERINC2	ENSG00000168528.11	+	chr1	31409565	31434680	protein_coding
AGO3	ENSG00000126070.19	+	chr1	35930718	36072500	protein_coding
FOXO6	ENSG00000204060.6	+	chr1	41361922	41383590	protein_coding
