MRAP2	ENSG00000135324.5	+	chr6	84033756	84090881	protein_coding
SH3BGRL2	ENSG00000198478.7	+	chr6	79631283	79703659	protein_coding
CYB5R4	ENSG00000065615.13	+	chr6	83859643	83967424	protein_coding
RWDD2A	ENSG00000013392.7	+	chr6	83193379	83198932	protein_coding
DOPEY1	ENSG00000083097.14	+	chr6	83067666	83171350	protein_coding
TTK	ENSG00000112742.9	+	chr6	80003887	80042527	protein_coding
AL139333.1	ENSG00000281446.1	+	chr6	83072973	83073135	protein_coding
PRSS35	ENSG00000146250.6	+	chr6	83512538	83525704	protein_coding
BCKDHB	ENSG00000083123.14	+	chr6	80106647	80346270	protein_coding
RIPPLY2	ENSG00000203877.8	+	chr6	83853266	83857515	protein_coding
TPBG	ENSG00000146242.8	+	chr6	82363206	82370828	protein_coding
NT5E	ENSG00000135318.11	+	chr6	85449584	85495791	protein_coding
LCA5	ENSG00000135338.13	-	chr6	79484991	79537458	protein_coding
IBTK	ENSG00000005700.14	-	chr6	82169983	82247754	protein_coding
TBX18	ENSG00000112837.16	-	chr6	84687351	84764519	protein_coding
ELOVL4	ENSG00000118402.5	-	chr6	79914812	79947580	protein_coding
UBE3D	ENSG00000118420.16	-	chr6	82892398	83065841	protein_coding
ME1	ENSG00000065833.8	-	chr6	83210389	83431071	protein_coding
AL133475.1	ENSG00000281602.1	-	chr6	80001402	80001907	protein_coding
SNAP91	ENSG00000065609.14	-	chr6	83552880	83709691	protein_coding
PGM3	ENSG00000013375.15	-	chr6	83161150	83193936	protein_coding
CEP162	ENSG00000135315.11	-	chr6	84124241	84227635	protein_coding
SYNCRIP	ENSG00000135316.17	-	chr6	85607785	85643792	protein_coding
SNX14	ENSG00000135317.12	-	chr6	85505496	85594156	protein_coding
FAM46A	ENSG00000112773.15	-	chr6	81491439	81752774	protein_coding
