ACADS	ENSG00000122971.8	+	chr12	120725735	120740008	protein_coding
MAP1LC3B2	ENSG00000258102.3	+	chr12	116548105	116576448	protein_coding
RNF34	ENSG00000170633.16	+	chr12	121400041	121430623	protein_coding
AC004813.1	ENSG00000279777.1	+	chr12	119918001	119918375	protein_coding
MLEC	ENSG00000110917.7	+	chr12	120686869	120701864	protein_coding
CCDC60	ENSG00000183273.6	+	chr12	119334712	119541047	protein_coding
RNF10	ENSG00000022840.15	+	chr12	120533480	120577594	protein_coding
SRRM4	ENSG00000139767.8	+	chr12	118981495	119163051	protein_coding
PEBP1	ENSG00000089220.4	+	chr12	118135858	118145584	protein_coding
ORAI1	ENSG00000276045.2	+	chr12	121626550	121642677	protein_coding
RNFT2	ENSG00000135119.14	+	chr12	116738178	116853631	protein_coding
DYNLL1	ENSG00000088986.10	+	chr12	120469850	120498493	protein_coding
CABP1	ENSG00000157782.9	+	chr12	120640552	120667324	protein_coding
GATC	ENSG00000257218.5	+	chr12	120446438	120463749	protein_coding
SIRT4	ENSG00000089163.4	+	chr12	120302316	120313249	protein_coding
COX6A1	ENSG00000111775.2	+	chr12	120438090	120440742	protein_coding
UNC119B	ENSG00000175970.9	+	chr12	120710435	120723640	protein_coding
HNF1A	ENSG00000135100.17	+	chr12	120978543	121002512	protein_coding
AL021546.6	ENSG00000111780.8	+	chr12	120438198	120460006	protein_coding
FBXW8	ENSG00000174989.12	+	chr12	116910956	117031148	protein_coding
SUDS3	ENSG00000111707.11	+	chr12	118376380	118418031	protein_coding
TMEM233	ENSG00000224982.3	+	chr12	119593459	119643066	protein_coding
PRKAB1	ENSG00000111725.10	+	chr12	119667753	119681630	protein_coding
RFC5	ENSG00000111445.13	+	chr12	118013588	118033130	protein_coding
P2RX4	ENSG00000135124.14	+	chr12	121209857	121234106	protein_coding
TMEM120B	ENSG00000188735.12	+	chr12	121712752	121783001	protein_coding
HSPB8	ENSG00000152137.6	+	chr12	119178642	119221131	protein_coding
BICDL1	ENSG00000135127.11	+	chr12	119989869	120094494	protein_coding
P2RX7	ENSG00000089041.16	+	chr12	121132819	121188032	protein_coding
TESC	ENSG00000088992.17	-	chr12	117038923	117099479	protein_coding
MED13L	ENSG00000123066.7	-	chr12	115953872	116277338	protein_coding
KDM2B	ENSG00000089094.17	-	chr12	121429097	121581015	protein_coding
CAMKK2	ENSG00000110931.18	-	chr12	121237691	121298308	protein_coding
NOS1	ENSG00000089250.18	-	chr12	117208142	117452170	protein_coding
TRIAP1	ENSG00000170855.3	-	chr12	120443961	120446412	protein_coding
SRSF9	ENSG00000111786.8	-	chr12	120461668	120469793	protein_coding
PLA2G1B	ENSG00000170890.13	-	chr12	120322111	120327789	protein_coding
VSIG10	ENSG00000176834.13	-	chr12	118063593	118136026	protein_coding
CIT	ENSG00000122966.14	-	chr12	119685790	119877291	protein_coding
OASL	ENSG00000135114.12	-	chr12	121019111	121039242	protein_coding
WSB2	ENSG00000176871.8	-	chr12	118032694	118062430	protein_coding
RPLP0	ENSG00000089157.15	-	chr12	120196686	120201235	protein_coding
GCN1	ENSG00000089154.10	-	chr12	120127203	120194710	protein_coding
PXN	ENSG00000089159.16	-	chr12	120210439	120265771	protein_coding
KSR2	ENSG00000171435.13	-	chr12	117453012	117968983	protein_coding
POP5	ENSG00000167272.10	-	chr12	120578764	120581398	protein_coding
TAOK3	ENSG00000135090.13	-	chr12	118149801	118372945	protein_coding
C12orf43	ENSG00000157895.11	-	chr12	121000486	121016502	protein_coding
RAB35	ENSG00000111737.11	-	chr12	120095095	120117502	protein_coding
ANAPC5	ENSG00000089053.12	-	chr12	121308245	121399896	protein_coding
FBXO21	ENSG00000135108.14	-	chr12	117141988	117190531	protein_coding
SPPL3	ENSG00000157837.15	-	chr12	120762510	120904371	protein_coding
COQ5	ENSG00000110871.14	-	chr12	120503274	120534434	protein_coding
C12orf49	ENSG00000111412.5	-	chr12	116710185	116738070	protein_coding
MSI1	ENSG00000135097.6	-	chr12	120341330	120369180	protein_coding
MORN3	ENSG00000139714.12	-	chr12	121648742	121672631	protein_coding
HRK	ENSG00000135116.9	-	chr12	116856144	116881441	protein_coding
