PSEN2	ENSG00000143801.16	+	chr1	226870184	226896105	protein_coding
SLC35F3	ENSG00000183780.12	+	chr1	233904933	234324516	protein_coding
CHRM3	ENSG00000133019.11	+	chr1	239386565	239915452	protein_coding
DISC1	ENSG00000162946.20	+	chr1	231626815	232041272	protein_coding
GNPAT	ENSG00000116906.11	+	chr1	231241207	231277973	protein_coding
OBSCN	ENSG00000154358.20	+	chr1	228208130	228378874	protein_coding
MTR	ENSG00000116984.12	+	chr1	236795281	236903981	protein_coding
ARV1	ENSG00000173409.13	+	chr1	230978981	231000595	protein_coding
RYR2	ENSG00000198626.15	+	chr1	237042205	237833988	protein_coding
COA6	ENSG00000168275.14	+	chr1	234373456	234384049	protein_coding
MIXL1	ENSG00000185155.11	+	chr1	226223618	226227054	protein_coding
TRIM67	ENSG00000119283.15	+	chr1	231162112	231221556	protein_coding
ACTN2	ENSG00000077522.12	+	chr1	236686454	236764631	protein_coding
RNF187	ENSG00000168159.10	+	chr1	228487061	228495766	protein_coding
ZNF678	ENSG00000181450.17	+	chr1	227563543	227677443	protein_coding
TBCE	ENSG00000116957.12	+	chr1	235367360	235448968	protein_coding
KCNK1	ENSG00000135750.14	+	chr1	233614004	233672512	protein_coding
H3F3A	ENSG00000163041.9	+	chr1	226061851	226072001	protein_coding
STUM	ENSG00000203685.9	+	chr1	226548800	226609214	protein_coding
HIST3H2BB	ENSG00000196890.4	+	chr1	228458107	228460470	protein_coding
LGALS8	ENSG00000116977.18	+	chr1	236518000	236552981	protein_coding
PRSS38	ENSG00000185888.5	+	chr1	227815693	227846470	protein_coding
ADCK3	ENSG00000163050.16	+	chr1	226897536	226987545	protein_coding
GALNT2	ENSG00000143641.9	+	chr1	230057990	230282124	protein_coding
RHOU	ENSG00000116574.5	+	chr1	228735077	228746669	protein_coding
COG2	ENSG00000135775.13	+	chr1	230642489	230693982	protein_coding
EDARADD	ENSG00000186197.13	+	chr1	236348257	236484914	protein_coding
TMEM78	ENSG00000177800.2	+	chr1	229249636	229251810	protein_coding
CAPN9	ENSG00000135773.12	+	chr1	230747384	230802003	protein_coding
IBA57	ENSG00000181873.12	+	chr1	228165815	228182257	protein_coding
NTPCR	ENSG00000135778.11	+	chr1	232950605	232983882	protein_coding
GUK1	ENSG00000143774.16	+	chr1	228139962	228148984	protein_coding
SPHAR	ENSG00000213029.3	+	chr1	229304857	229305504	protein_coding
