chr	strand	start	end	gene_id	gene_symbol
1	+	212285537	212361863	ENSG00000066027.11	PPP2R5A
1	+	212432887	212446379	ENSG00000117691.9	NENF
1	+	215567392	215621807	ENSG00000136636.12	KCTD3
1	+	212565334	212620777	ENSG00000162772.16	ATF3
1	+	210328252	210676296	ENSG00000054392.12	HHAT
1	+	211326615	211374946	ENSG00000082512.14	TRAF5
1	+	213983181	214041502	ENSG00000117707.15	PROX1
1	+	212035553	212107400	ENSG00000143476.17	DTL
1	+	212791828	212816626	ENSG00000203705.10	TATDN3
1	+	212950520	212992037	ENSG00000143494.15	VASH2
1	+	210232799	210246631	ENSG00000082497.11	SERTAD4
1	+	214281102	214337131	ENSG00000143499.13	SMYD2
1	+	212858255	212899363	ENSG00000162769.12	FLVCR1
1	+	214603195	214664588	ENSG00000117724.12	CENPF
1	+	213051233	213274773	ENSG00000136643.11	RPS6KC1
1	+	209938174	210171389	ENSG00000143469.17	SYT14
1	+	211258377	211316385	ENSG00000117625.13	RCOR3
1	+	215005775	215237093	ENSG00000082482.13	KCNK2
1	+	212624474	212626778	ENSG00000162771.7	FAM71A
1	+	209938251	210161042	ENSG00000283619.1	AL022397.1
1	-	211571568	211578742	ENSG00000170385.9	SLC30A1
1	-	211743457	211830772	ENSG00000123684.12	LPGAT1
1	-	212686418	212699985	ENSG00000123685.8	BATF3
1	-	212726153	212791782	ENSG00000117697.14	NSL1
1	-	212992182	213015826	ENSG00000174606.13	ANGEL2
1	-	210678315	211134115	ENSG00000143473.11	KCNH1
1	-	212363931	212414901	ENSG00000065600.12	TMEM206
1	-	215622894	216423396	ENSG00000042781.12	USH2A
1	-	214348696	214552449	ENSG00000152104.11	PTPN14
1	-	212830141	212847649	ENSG00000185523.6	SPATA45
1	-	211940399	212035542	ENSG00000143493.12	INTS7
1	-	211658657	211675630	ENSG00000117650.12	NEK2
1	-	211476522	211492917	ENSG00000198570.5	RD3
