chr	strand	start	end	gene_id	gene_symbol
13	+	34942287	35673022	ENSG00000172915.18	NBEA
13	+	36998816	37009613	ENSG00000120699.12	EXOSC8
13	+	32031300	32299122	ENSG00000073910.19	FRY
13	+	44989529	45037669	ENSG00000133114.17	GPALPP1
13	+	44373665	44397714	ENSG00000151778.10	SERP2
13	+	39655627	39791665	ENSG00000133103.16	COG6
13	+	31199936	31332276	ENSG00000187676.7	B3GLCT
13	+	41061274	41084006	ENSG00000120688.8	WBP4
13	+	30713478	30764426	ENSG00000132965.9	ALOX5AP
13	+	38349849	38363619	ENSG00000120686.11	UFM1
13	+	32315474	32400266	ENSG00000139618.14	BRCA2
13	+	38687129	38887131	ENSG00000150893.10	FREM2
13	+	39038306	39050109	ENSG00000188811.13	NHLRC3
13	+	33818049	33966558	ENSG00000133119.12	RFC3
13	+	41457559	41470882	ENSG00000102760.12	RGCC
13	+	28138506	28295335	ENSG00000152520.13	PAN3
13	+	36673912	36697839	ENSG00000180440.3	SERTM1
13	+	42562736	42608013	ENSG00000120659.14	TNFSF11
13	+	42781550	42791549	ENSG00000179813.6	FAM216B
13	+	45120515	45284909	ENSG00000188342.11	GTF2F2
13	+	43879284	43893932	ENSG00000179630.10	LACC1
13	+	42040036	42256578	ENSG00000102780.16	DGKH
13	+	30617693	30660770	ENSG00000132952.11	USPL1
13	+	28820348	29505947	ENSG00000132938.19	MTUS2
13	+	37020528	37020772	ENSG00000279238.1	AL138706.1
13	+	43023203	43114224	ENSG00000120675.5	DNAJC15
13	+	36819224	36829104	ENSG00000133111.3	RFXAP
13	+	31739542	31803388	ENSG00000133105.7	RXFP2
13	+	41311205	41377030	ENSG00000172766.18	NAA16
13	+	32586427	32778019	ENSG00000083642.18	PDS5B
13	+	27920020	27926231	ENSG00000139515.5	PDX1
13	+	28659104	28678925	ENSG00000132963.7	POMP
13	+	30422488	30428616	ENSG00000236444.4	UBE2L5P
13	+	27945206	27945590	ENSG00000180389.6	ATP5EP2
13	+	30932703	30975502	ENSG00000175664.9	TEX26
13	+	40789412	40810111	ENSG00000102743.14	SLC25A15
13	+	30906191	30925572	ENSG00000102802.9	MEDAG
13	+	42272153	42323267	ENSG00000023516.8	AKAP11
13	+	33016433	33066145	ENSG00000133116.7	KL
13	+	36431520	36442882	ENSG00000133101.9	CCNA1
13	-	38965925	38991066	ENSG00000133115.11	STOML3
13	-	44432143	44577147	ENSG00000102804.14	TSC22D1
13	-	29509410	29595688	ENSG00000139514.12	SLC7A1
13	-	41566837	41961120	ENSG00000102763.16	VWA8
13	-	36301638	36370180	ENSG00000133104.12	SPG20
13	-	37103259	37105664	ENSG00000180138.7	CSNK1A1L
13	-	36222008	36297840	ENSG00000242715.7	CCDC169
13	-	32303700	32315344	ENSG00000189167.11	ZAR1L
13	-	33103135	33350630	ENSG00000133121.20	STARD13
13	-	40931920	41061440	ENSG00000120690.14	ELF1
13	-	27977714	27988654	ENSG00000183463.5	URAD
13	-	30456704	30617597	ENSG00000189403.14	HMGB1
13	-	29764371	29850684	ENSG00000122042.9	UBL3
13	-	44939249	44989483	ENSG00000083635.7	NUFIP1
13	-	35768652	36131306	ENSG00000133083.14	DCLK1
13	-	45393316	45418455	ENSG00000174032.16	SLC25A30
13	-	45333471	45341370	ENSG00000133112.16	TPT1
13	-	39009866	39038076	ENSG00000120685.19	PROSER1
13	-	28700064	28718970	ENSG00000139508.14	SLC46A3
13	-	41216369	41263577	ENSG00000120662.15	MTRF1
13	-	35474182	35477209	ENSG00000180660.7	MAB21L1
13	-	30202630	30307484	ENSG00000102781.13	KATNAL1
13	-	40729135	40771173	ENSG00000102738.7	MRPS31
13	-	43213518	43786908	ENSG00000120658.13	ENOX1
13	-	37636636	37870425	ENSG00000133107.14	TRPC4
13	-	37562583	37598844	ENSG00000133110.14	POSTN
13	-	28300344	28495128	ENSG00000102755.10	FLT1
13	-	44143543	44161257	ENSG00000139656.6	SMIM2
13	-	32400723	32428311	ENSG00000139597.17	N4BP2L1
13	-	41189833	41194566	ENSG00000120696.8	KBTBD7
13	-	41127569	41132746	ENSG00000165572.7	KBTBD6
13	-	36168208	36214615	ENSG00000120669.15	SOHLH2
13	-	31134974	31162388	ENSG00000120694.19	HSPH1
13	-	42886388	42992271	ENSG00000133106.14	EPSTI1
13	-	36844831	36920765	ENSG00000120693.13	SMAD9
13	-	27962137	27971139	ENSG00000165556.9	CDX2
13	-	28003274	28100592	ENSG00000122025.14	FLT3
13	-	43823909	43879727	ENSG00000151773.12	CCDC122
13	-	40469953	40666597	ENSG00000150907.7	FOXO1
13	-	37009312	37059713	ENSG00000102710.19	SUPT20H
13	-	36949775	37000261	ENSG00000120697.8	ALG5
13	-	36168794	36297842	ENSG00000250709.1	CCDC169-SOHLH2
13	-	45192853	45194717	ENSG00000180332.6	KCTD4
13	-	39342892	39603528	ENSG00000183722.7	LHFP
13	-	32432417	32538885	ENSG00000244754.8	N4BP2L2
