chr	strand	start	end	gene_id	gene_symbol
1	+	32209094	32216196	ENSG00000222046.2	DCDC2B
1	+	28259527	28282491	ENSG00000130766.4	SESN2
1	+	43358955	43363203	ENSG00000117399.13	CDC20
1	+	26693236	26782104	ENSG00000117713.18	ARID1A
1	+	31296982	31364953	ENSG00000121766.15	ZCCHC17
1	+	37474552	37484379	ENSG00000163874.9	ZC3H12A
1	+	36088875	36093932	ENSG00000116863.10	ADPRHL2
1	+	34759741	34763724	ENSG00000189433.5	GJB4
1	+	31617686	31632518	ENSG00000121764.11	HCRTR1
1	+	42456117	42473385	ENSG00000127125.8	PPCS
1	+	40245947	40251691	ENSG00000188800.5	TMCO2
1	+	33860475	33864791	ENSG00000176256.10	HMGB4
1	+	43337807	43352772	ENSG00000117400.15	MPL
1	+	40258107	40294184	ENSG00000084073.8	ZMPSTE24
1	+	32200386	32205387	ENSG00000160050.14	CCDC28B
1	+	40040233	40072649	ENSG00000131236.16	CAP1
1	+	35869808	35930528	ENSG00000092847.11	AGO1
1	+	40508741	40516556	ENSG00000164002.11	EXO5
1	+	28592200	28595443	ENSG00000188060.6	RAB42
1	+	34792998	34795747	ENSG00000187513.8	GJA4
1	+	32179686	32198285	ENSG00000084652.15	TXLNA
1	+	34755047	34758512	ENSG00000189280.3	GJB5
1	+	35268967	35422058	ENSG00000146463.11	ZMYM4
1	+	44405194	44651724	ENSG00000187147.17	RNF220
1	+	32205661	32208687	ENSG00000160051.11	IQCC
1	+	40477215	40496343	ENSG00000187815.9	ZFP69
1	+	42682427	42702349	ENSG00000065978.18	YBX1
1	+	26993707	27000898	ENSG00000253368.3	TRNP1
1	+	33081104	33120530	ENSG00000142920.16	AZIN2
1	+	35573370	35595328	ENSG00000116819.6	TFAP2E
1	+	27725979	27763122	ENSG00000009780.15	FAM76A
1	+	43933320	43937241	ENSG00000117407.16	ARTN
1	+	42767269	42775747	ENSG00000164008.14	C1orf50
1	+	43172149	43254358	ENSG00000243710.7	CFAP57
1	+	42463330	42654664	ENSG00000186409.14	CCDC30
1	+	43946939	43968022	ENSG00000117408.10	IPO13
1	+	44118850	44135140	ENSG00000171872.4	KLF17
1	+	37692418	37709719	ENSG00000134690.10	CDCA8
1	+	35808172	35857890	ENSG00000134698.10	AGO4
1	+	28668732	28719353	ENSG00000162419.12	GMEB1
1	+	32108038	32176568	ENSG00000025800.13	KPNA6
1	+	39491646	39525935	ENSG00000183682.7	BMP8A
1	+	35557473	35567274	ENSG00000020129.15	NCDN
1	+	27342020	27353937	ENSG00000142765.17	SYTL1
1	+	43145153	43156396	ENSG00000186973.10	FAM183A
1	+	32221928	32231604	ENSG00000084623.11	EIF3I
1	+	44674692	44725591	ENSG00000198520.10	C1orf228
1	+	34166883	34219131	ENSG00000142698.14	C1orf94
1	+	40979335	41012565	ENSG00000171793.13	CTPS1
1	+	37806979	37809454	ENSG00000197982.13	C1orf122
1	+	44213455	44220681	ENSG00000178028.13	DMAP1
1	+	42785007	42816619	ENSG00000274386.5	RP5-994D16.11
1	+	43650158	43705515	ENSG00000066135.12	KDM4A
1	+	42153421	42155824	ENSG00000044012.3	GUCA2B
1	+	31409565	31434680	ENSG00000168528.11	SERINC2
1	+	35930718	36072500	ENSG00000126070.19	AGO3
1	+	41361922	41383590	ENSG00000204060.6	FOXO6
1	+	27234516	27308633	ENSG00000142784.15	WDTC1
1	+	27830778	27851676	ENSG00000117751.17	PPP1R8
