chr	strand	start	end	gene_id	gene_symbol
12	+	120725735	120740008	ENSG00000122971.8	ACADS
12	+	116548105	116576448	ENSG00000258102.3	MAP1LC3B2
12	+	121400041	121430623	ENSG00000170633.16	RNF34
12	+	119918001	119918375	ENSG00000279777.1	AC004813.1
12	+	120686869	120701864	ENSG00000110917.7	MLEC
12	+	119334712	119541047	ENSG00000183273.6	CCDC60
12	+	120533480	120577594	ENSG00000022840.15	RNF10
12	+	118981495	119163051	ENSG00000139767.8	SRRM4
12	+	118135858	118145584	ENSG00000089220.4	PEBP1
12	+	121626550	121642677	ENSG00000276045.2	ORAI1
12	+	116738178	116853631	ENSG00000135119.14	RNFT2
12	+	120469850	120498493	ENSG00000088986.10	DYNLL1
12	+	120640552	120667324	ENSG00000157782.9	CABP1
12	+	120446438	120463749	ENSG00000257218.5	GATC
12	+	120302316	120313249	ENSG00000089163.4	SIRT4
12	+	120438090	120440742	ENSG00000111775.2	COX6A1
12	+	120710435	120723640	ENSG00000175970.9	UNC119B
12	+	120978543	121002512	ENSG00000135100.17	HNF1A
12	+	120438198	120460006	ENSG00000111780.8	AL021546.6
12	+	116910956	117031148	ENSG00000174989.12	FBXW8
12	+	118376380	118418031	ENSG00000111707.11	SUDS3
12	+	119593459	119643066	ENSG00000224982.3	TMEM233
12	+	119667753	119681630	ENSG00000111725.10	PRKAB1
12	+	118013588	118033130	ENSG00000111445.13	RFC5
12	+	121209857	121234106	ENSG00000135124.14	P2RX4
12	+	121712752	121783001	ENSG00000188735.12	TMEM120B
12	+	119178642	119221131	ENSG00000152137.6	HSPB8
12	+	119989869	120094494	ENSG00000135127.11	BICDL1
12	+	121132819	121188032	ENSG00000089041.16	P2RX7
12	-	117038923	117099479	ENSG00000088992.17	TESC
12	-	115953872	116277338	ENSG00000123066.7	MED13L
12	-	121429097	121581015	ENSG00000089094.17	KDM2B
12	-	121237691	121298308	ENSG00000110931.18	CAMKK2
12	-	117208142	117452170	ENSG00000089250.18	NOS1
12	-	120443961	120446412	ENSG00000170855.3	TRIAP1
12	-	120461668	120469793	ENSG00000111786.8	SRSF9
12	-	120322111	120327789	ENSG00000170890.13	PLA2G1B
12	-	118063593	118136026	ENSG00000176834.13	VSIG10
12	-	119685790	119877291	ENSG00000122966.14	CIT
12	-	121019111	121039242	ENSG00000135114.12	OASL
12	-	118032694	118062430	ENSG00000176871.8	WSB2
12	-	120196686	120201235	ENSG00000089157.15	RPLP0
12	-	120127203	120194710	ENSG00000089154.10	GCN1
12	-	120210439	120265771	ENSG00000089159.16	PXN
12	-	117453012	117968983	ENSG00000171435.13	KSR2
12	-	120578764	120581398	ENSG00000167272.10	POP5
12	-	118149801	118372945	ENSG00000135090.13	TAOK3
12	-	121000486	121016502	ENSG00000157895.11	C12orf43
12	-	120095095	120117502	ENSG00000111737.11	RAB35
12	-	121308245	121399896	ENSG00000089053.12	ANAPC5
12	-	117141988	117190531	ENSG00000135108.14	FBXO21
12	-	120762510	120904371	ENSG00000157837.15	SPPL3
12	-	120503274	120534434	ENSG00000110871.14	COQ5
12	-	116710185	116738070	ENSG00000111412.5	C12orf49
12	-	120341330	120369180	ENSG00000135097.6	MSI1
12	-	121648742	121672631	ENSG00000139714.12	MORN3
12	-	116856144	116881441	ENSG00000135116.9	HRK
