chr	strand	start	end	gene_id	gene_symbol
6	+	84033756	84090881	ENSG00000135324.5	MRAP2
6	+	79631283	79703659	ENSG00000198478.7	SH3BGRL2
6	+	83859643	83967424	ENSG00000065615.13	CYB5R4
6	+	83193379	83198932	ENSG00000013392.7	RWDD2A
6	+	83067666	83171350	ENSG00000083097.14	DOPEY1
6	+	80003887	80042527	ENSG00000112742.9	TTK
6	+	83072973	83073135	ENSG00000281446.1	AL139333.1
6	+	83512538	83525704	ENSG00000146250.6	PRSS35
6	+	80106647	80346270	ENSG00000083123.14	BCKDHB
6	+	83853266	83857515	ENSG00000203877.8	RIPPLY2
6	+	82363206	82370828	ENSG00000146242.8	TPBG
6	+	85449584	85495791	ENSG00000135318.11	NT5E
6	-	79484991	79537458	ENSG00000135338.13	LCA5
6	-	82169983	82247754	ENSG00000005700.14	IBTK
6	-	84687351	84764519	ENSG00000112837.16	TBX18
6	-	79914812	79947580	ENSG00000118402.5	ELOVL4
6	-	82892398	83065841	ENSG00000118420.16	UBE3D
6	-	83210389	83431071	ENSG00000065833.8	ME1
6	-	80001402	80001907	ENSG00000281602.1	AL133475.1
6	-	83552880	83709691	ENSG00000065609.14	SNAP91
6	-	83161150	83193936	ENSG00000013375.15	PGM3
6	-	84124241	84227635	ENSG00000135315.11	CEP162
6	-	85607785	85643792	ENSG00000135316.17	SYNCRIP
6	-	85505496	85594156	ENSG00000135317.12	SNX14
6	-	81491439	81752774	ENSG00000112773.15	FAM46A
