chr	strand	start	end	gene_id	gene_symbol
1	+	160081570	160090563	ENSG00000162728.4	KCNJ9
1	+	161098361	161100346	ENSG00000162755.13	KLHDC9
1	+	161258727	161285450	ENSG00000248485.1	PCP4L1
1	+	159800511	159816251	ENSG00000181036.13	FCRL6
1	+	162497251	162529629	ENSG00000152332.15	UHMK1
1	+	159203307	159206500	ENSG00000213088.9	ACKR1
1	+	161524540	161526910	ENSG00000173110.7	HSPA6
1	+	162365407	162383531	ENSG00000254706.2	RP11-565P22.6
1	+	159289714	159308224	ENSG00000179639.10	FCER1A
1	+	161706972	161714352	ENSG00000132185.16	FCRLA
1	+	159439722	159440811	ENSG00000196184.8	OR10J1
1	+	158754720	158755891	ENSG00000180433.4	OR6K6
1	+	160739057	160754821	ENSG00000026751.16	SLAMF7
1	+	162069774	162370475	ENSG00000198929.12	NOS1AP
1	+	161721563	161728143	ENSG00000162746.14	FCRLB
1	+	162561506	162599842	ENSG00000117143.13	UAP1
1	+	161197104	161214395	ENSG00000158864.12	NDUFS2
1	+	161215234	161220699	ENSG00000158869.10	FCER1G
1	+	161118086	161125445	ENSG00000158793.13	NIT1
1	+	159826750	159837249	ENSG00000158714.10	SLAMF8
1	+	159780932	159782543	ENSG00000158716.8	DUSP23
1	+	158606439	158607380	ENSG00000198967.3	OR10Z1
1	+	160796074	160828261	ENSG00000122224.17	LY9
1	+	158831317	158849506	ENSG00000163563.7	MNDA
1	+	161749758	161757238	ENSG00000081721.11	DUSP12
1	+	161314257	161375340	ENSG00000143252.14	SDHC
1	+	160115759	160143591	ENSG00000018625.14	ATP1A2
1	+	161663147	161678654	ENSG00000072694.20	FCGR2B
1	+	161225939	161230744	ENSG00000158882.13	TOMM40L
1	+	162631373	162787400	ENSG00000162733.16	DDR2
1	+	162366908	162386818	ENSG00000239887.4	C1orf226
1	+	161159450	161165723	ENSG00000143258.15	USP21
1	+	161065865	161066153	ENSG00000278883.1	AL591806.1
1	+	160205337	160215376	ENSG00000162734.12	PEA15
1	+	161166410	161178013	ENSG00000143224.17	PPOX
1	+	159587825	159588865	ENSG00000132703.3	APCS
1	+	160343272	160358952	ENSG00000162736.15	NCSTN
1	+	161152776	161158856	ENSG00000143222.11	UFC1
1	+	161505430	161524013	ENSG00000143226.13	FCGR2A
1	+	161766294	161964070	ENSG00000118217.5	ATF6
1	+	159171609	159203313	ENSG00000162706.12	CADM3
1	+	158930796	158977054	ENSG00000163564.14	PYHIN1
1	+	160367067	160372848	ENSG00000171786.5	NHLH1
1	+	158999968	159055155	ENSG00000163565.18	IFI16
1	+	162790702	162812817	ENSG00000132196.13	HSD17B7
1	+	160190556	160201886	ENSG00000143318.12	CASQ1
1	+	160400586	160428678	ENSG00000162738.5	VANGL2
1	+	160151570	160186977	ENSG00000132681.16	ATP1A4
1	-	160289273	160343400	ENSG00000122218.14	COPA
1	-	162824458	162868815	ENSG00000185860.13	CCDC190
1	-	158717168	158718163	ENSG00000203757.1	OR6K3
1	-	158562651	158563604	ENSG00000186440.1	OR6P1
1	-	161222292	161223631	ENSG00000158874.11	APOA2
1	-	159313670	159314659	ENSG00000196266.4	OR10J3
1	-	161037631	161038990	ENSG00000215845.10	TSTD1
1	-	159951492	159954254	ENSG00000162723.9	SLAMF9
1	-	161541759	161550737	ENSG00000203747.9	FCGR3A
1	-	159927039	159945604	ENSG00000085552.16	IGSF9
1	-	160091340	160098943	ENSG00000162729.13	IGSF8
1	-	158610706	158686698	ENSG00000163554.12	SPTA1
1	-	161039251	161045977	ENSG00000158773.14	USF1
1	-	161364731	161367874	ENSG00000188931.3	CFAP126
1	-	162395266	162412138	ENSG00000198574.5	SH2D1B
1	-	158765744	158766682	ENSG00000197403.3	OR6N1
1	-	161983192	162023854	ENSG00000162745.10	OLFML2B
1	-	160945025	160954799	ENSG00000158764.6	ITLN2
1	-	158547128	158548105	ENSG00000197532.1	OR6Y1
1	-	161623196	161631963	ENSG00000162747.9	FCGR3B
1	-	160678746	160711851	ENSG00000117091.9	CD48
1	-	160215715	160262531	ENSG00000132716.18	DCAF8
1	-	159872364	159900163	ENSG00000213085.9	CFAP45
1	-	159834474	159855347	ENSG00000188004.9	C1orf204
1	-	159854316	159862657	ENSG00000243284.1	VSIG8
1	-	161070995	161089599	ENSG00000143217.8	NECTIN4
1	-	159918107	159925732	ENSG00000158710.14	TAGLN2
1	-	159998841	160070248	ENSG00000177807.7	KCNJ10
1	-	161120974	161132688	ENSG00000158796.16	DEDD
1	-	161046946	161069970	ENSG00000186517.13	ARHGAP30
1	-	160830160	160862855	ENSG00000122223.12	CD244
1	-	159535078	159536007	ENSG00000184155.8	OR10J5
1	-	161229666	161238302	ENSG00000143257.11	NR1I3
1	-	158699678	158700652	ENSG00000196171.3	OR6K2
1	-	159712289	159714589	ENSG00000132693.12	CRP
1	-	160995211	161021348	ENSG00000158769.17	F11R
1	-	161304735	161309972	ENSG00000158887.15	MPZ
1	-	160608100	160647295	ENSG00000117090.14	SLAMF1
1	-	160485030	160523262	ENSG00000162739.13	SLAMF6
1	-	160276812	160286348	ENSG00000162735.18	PEX19
1	-	160217464	160285130	ENSG00000258465.6	RP11-574F21.3
1	-	161171310	161177968	ENSG00000158850.14	B4GALT3
1	-	160027673	160031991	ENSG00000143315.6	PIGM
1	-	161100556	161118111	ENSG00000143256.4	PFDN2
1	-	159062484	159147096	ENSG00000163568.14	AIM2
1	-	160541095	160579516	ENSG00000066294.14	CD84
1	-	161184308	161199056	ENSG00000158859.9	ADAMTS4
1	-	158776682	158777635	ENSG00000188340.1	OR6N2
1	-	160876539	160885170	ENSG00000179914.4	ITLN1
1	-	162373203	162376870	ENSG00000171722.12	C1orf111
