chr6	291700	304628	+	ENSG00000112679.14
chr6	304661	311880	+	ENSG00000112679.14
chr6	311962	335114	+	ENSG00000112679.14
chr6	335163	345854	+	ENSG00000112679.14
chr6	345928	348103	+	ENSG00000112679.14
chr6	292560	304628	+	ENSG00000112679.14
chr6	348274	348769	+	ENSG00000112679.14
chr6	348841	350822	+	ENSG00000112679.14
chr6	304661	335114	+	ENSG00000112679.14
chr6	292560	345854	+	ENSG00000112679.14
chr6	292560	311880	+	ENSG00000112679.14
chr6	311962	345854	+	ENSG00000112679.14
chr6	326158	345854	+	ENSG00000112679.14
chr6	391809	393098	+	ENSG00000137265.14
chr6	393368	394821	+	ENSG00000137265.14
chr6	395007	395847	+	ENSG00000137265.14
chr6	395935	397108	+	ENSG00000137265.14
chr6	397252	398828	+	ENSG00000137265.14
chr6	398935	401424	+	ENSG00000137265.14
chr6	401777	405018	+	ENSG00000137265.14
chr6	405130	407455	+	ENSG00000137265.14
chr6	1391118	1394696	+	ENSG00000137273.3
chr6	2766444	2768691	+	ENSG00000124535.15
chr6	2768882	2770120	+	ENSG00000124535.15
chr6	2770361	2779263	+	ENSG00000124535.15
chr6	2779492	2783406	+	ENSG00000124535.15
chr6	2783561	2784324	+	ENSG00000124535.15
chr6	2784403	2785007	+	ENSG00000124535.15
chr6	2768882	2770195	+	ENSG00000124535.15
chr6	2988031	2989528	+	ENSG00000124588.19
chr6	2989710	2993931	+	ENSG00000124588.19
chr6	2994053	3006468	+	ENSG00000124588.19
chr6	3006559	3010025	+	ENSG00000124588.19
chr6	3010189	3012544	+	ENSG00000124588.19
chr6	2988709	2993931	+	ENSG00000124588.19
chr6	3012674	3015530	+	ENSG00000124588.19
chr6	3000085	3003669	+	ENSG00000124588.19
chr6	3003789	3006468	+	ENSG00000124588.19
chr6	3000085	3002050	+	ENSG00000124588.19
chr6	3002286	3003669	+	ENSG00000124588.19
chr6	3003789	3004495	+	ENSG00000124588.19
chr6	3004651	3006468	+	ENSG00000124588.19
chr6	3015643	3016884	+	ENSG00000124588.19
chr6	3016985	3019479	+	ENSG00000124588.19
chr6	3000085	3004495	+	ENSG00000124588.19
chr6	3012674	3016884	+	ENSG00000124588.19
chr6	3000085	3006468	+	ENSG00000124588.19
chr6	3000367	3006468	+	ENSG00000124588.19
chr6	3004259	3006468	+	ENSG00000124588.19
chr6	3006559	3006816	+	ENSG00000124588.19
chr6	3006935	3010025	+	ENSG00000124588.19
chr6	3068661	3076764	+	ENSG00000137275.13
chr6	3076987	3077779	+	ENSG00000137275.13
chr6	3077935	3080979	+	ENSG00000137275.13
chr6	3081116	3083085	+	ENSG00000137275.13
chr6	3083313	3085259	+	ENSG00000137275.13
chr6	3085408	3089581	+	ENSG00000137275.13
chr6	3089657	3104225	+	ENSG00000137275.13
chr6	3104315	3105482	+	ENSG00000137275.13
chr6	3106051	3110803	+	ENSG00000137275.13
chr6	3110955	3113053	+	ENSG00000137275.13
